column_name,column_type,column_description,sample_value,ref_key
signatures,VARIANT,,[],
block_hash,TEXT,,"[""B4747CFF468927FBD4FA90B1DAD1D96FA5270388771893D565E8606CF7983EA1"", ""59429D8194A646E55E2EE15AAA6980035D165BFFF9B65B1924553EBB9427DB57"", ""3CA373182276E3C76449F680242AFE7260F565AB21EC482A95A01DE5A0063D98""]",
proposer_address,TEXT,,"[""E7016315610DDCE9685BB3106182F58BFE8D16B7"", ""F2366080D68C57913FBF3D90BC9DBC255A26A9D8"", ""ABC2A975BE4B0958B1494C83F306D78F624F794C""]",
block_timestamp,TEXT,,"[""2021-06-09T10:16:12.655083898Z"", ""2021-06-09T10:14:26.642437525Z"", ""2021-06-09T10:20:48.940756623Z""]",
block_height,NUMBER,,"[6528067, 6528036, 6528151]",
consensus_hash,TEXT,,"[""0EAA6F4F4B8BD1CC222D93BBD391D07F074DE6BE5A52C6964875BB355B7D0B45""]",
last_results_hash,TEXT,,"[""F5C71A1A44C3532FC4F36DFC2E43DD80AA90E93C669EA9641EBDEE8B23D8BA17"", ""F857106116E31EA0951D99C76A1F0E19C5ADEA0A92791B38670D8D1B2D820150"", ""BF40C3FDA60042526B1EDE1A24B50837785F3FDA8AA36C2892CE07254F0ADF60""]",
data_hash,TEXT,,"[""5AAA22C04F11865C22B8C9B8BE5383C2E252A243EACAE28734B69A9AE37656FA"", ""AAD09D3CCA6B7F3CC044AA280BFC37E1E78EF41A1E9A634A127F5C1BB9CB265A"", ""D254513D5A60BB17F1A1C301E0E7E478C0D211E5454838DF7000CB259E9ADED9""]",
last_commit_hash,TEXT,,"[""6874AC72F19C793DA3AB8EB1755D91CC0FD80BD38FDC96CB66EED9043B09A854"", ""31D93A33A5D9927CD3405EA59561EEF2F968CA3E7DAAD6F9EA289B907ED35C00"", ""C246B7D2A8D4321225C81EE929217E1446A71B15B30F9535A968466B46517EFF""]",
block_timestamp_truncated,NUMBER,,"[1623233772655083, 1623233666642437, 1623234048940756]",
evidence_hash,TEXT,,"[""""]",
app_hash,TEXT,,"[""422BBCE1B1BB05E25FEE612EF3E969A8BEB20E77E3A1A1F27F951F592F4790A5"", ""20C31AC27DA12D261A3C9FA3625199CDC674C95B7850740BB6649F96A5F98A5C"", ""3D5FFEBAC3F22B57FD2008BF310A79B044ADA43C94E40072C09DD7E9DA518EA9""]",
validators_hash,TEXT,,"[""00E1F37BAE108336B8E3129DF8CE85B6E0F77054372A945CBEACFD34635E7CD4""]",
next_validators_hash,TEXT,,"[""00E1F37BAE108336B8E3129DF8CE85B6E0F77054372A945CBEACFD34635E7CD4""]",
