column_name,column_type,column_description,sample_value,ref_key
related_indicators,TEXT,In general indicator that are of interest and related to the specific series.,[],
base_period,NUMBER,Base period is the period of time for which data is used as the base of an index number or other ratio have been collected. This period is frequently one of a year but it may be as short as one day or as long as the average of a group of years.,[],
series_code,TEXT,A number or a sequence of related statistical units arranged or occurring in temporal spatial or other order or succession. WDI carries mostly time series.,"[""HD.HCI.OVRL.MA"", ""HD.HCI.OVRL.UB.FE"", ""HD.HCI.OVRL.UB.MA""]",
other_notes,TEXT,A brief record of facts topics or thoughts written down and used to contextualize the series definition values and other characteristics.,[],
aggregation_method,TEXT,Aggregation methods are types of calculations used to group attribute values into a metric for each dimension value. For example for each region one may retrieve the total value of country entries (the sum of the series value for countries belonging to the region).,"[""Weighted Average"", ""Weighted average""]",
unit_of_measure,TEXT,A quantity used as a standard of measurement. Example: Units of time are second minute hour day week month year and decade.,[],
periodicity,TEXT,Applies to series recurring at regular intervals. Most of the time this term denotes that interval of recurrence.,"[""Annual""]",
general_comments,TEXT,Other notes regarding the series which do not appear in Development relevance or Limitations or exceptions,"[""For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2022 (July 1, 2021-June 30, 2022).""]",
topic,TEXT,The matter dealt with in the context discourse or subject related to the series.,"[""Public Sector: Policy & institutions"", ""Background: Economy"", ""Background: Education""]",
short_definition,TEXT,Short statement of the exact meaning of a series.,[],
long_definition,TEXT,Extended statement of the exact meaning of a series.,"[""The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education."", ""The HCI upper bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful."", ""Gender parity index for youth literacy rate is the ratio of females to males ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.""]",
source,TEXT,A place person or organization from which the series comes or can be obtained.,"[""World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498"", ""World Bank national accounts data, and OECD National Accounts data files."", ""UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of June 2022.""]",
indicator_name,TEXT,Given name of a series.,"[""Human capital index (HCI), male (scale 0-1)"", ""Human capital index (HCI), female, upper bound (scale 0-1)"", ""Human capital index (HCI), male, upper bound (scale 0-1)""]",
limitations_and_exceptions,TEXT,A limiting rule or circumstance that applies to usage of the series such as the scope of the survey collecting the data or missing years and countries.  It should also note when data are imputed or estimated,"[""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""]",
notes_from_original_source,TEXT,A brief record of facts topics or thoughts written down and used to contextualize the series definition values and other characteristics.,[],
development_relevance,TEXT,The relevance of a series refers to how the indicator’s data may be used to monitor particular aspects of development goals and programs for example the Sustainable Development Goals. The indicator may conclusively measure progress towards a particular objective or may act as a proxy or interpretation of a development aim.,[],
related_source_links,TEXT,Internet address of related source page tool or knowledge base.,[],
license_type,TEXT,Explains the rights conferred and restrictions imposed by the owner to the users of a series,"[""CC BY-4.0""]",
statistical_concept_and_methodology,TEXT,The abstract idea general statistical notions or a system of methods used to generate the series.,"[""The World Bank uses Atlas method GNI per capita in U.S. dollars to classify countries for analytical purposes and to determine borrowing eligibility. For more information, see the metadata for Atlas method GNI in current U.S. dollars (NY.GNP.ATLS.CD) and total population (SP.POP.TOTL)."", ""This indicator is calculated by dividing female youth literacy rate by male youth literacy rate. \n\nLiteracy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.\n\nData on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""]",
other_web_links,TEXT,Internet addresses of related pages tools or knowledge bases.,[],
