column_name,column_type,column_description,sample_value,ref_key
Other_and_Preclassification,TEXT,,"[""0""]",
Drugs_and_Chemistry,TEXT,,"[""1""]",
NIH_Federal_Grant_Number,TEXT,,[],
FDA_Ingredient,TEXT,,[],
Radiation_Measurement,TEXT,,"[""0""]",
TBD,TEXT,,[],
Grant_or_Publication_Date,TEXT,,"[""20060406"", ""20080821"", ""20141225""]",
FDA_Application_Number,TEXT,,[],
Application_Number,TEXT,"Patent application number (DOCDB compatible), eg: 'US-87124404-A'. This may not always be set.","[""11/228833"", ""11/925922"", ""14/318176""]",
DNA_RNA_or_Protein_Sequence,TEXT,,"[""0"", ""1""]",
Patent_or_Publication_ID,TEXT,,"[""US 20060074105 A1"", ""US 20080200484 A1"", ""US 20140378403 A1""]",
Food_and_Nutrition,TEXT,,"[""0""]",
FDA_Applicant,TEXT,,[],
FDA_Drug_Trade_Name,TEXT,,[],
Patent_Title,TEXT,,"[""Substituted quinoline and quinazoline inhibitors of quinone reductase 2"", ""Pharmaceutical Compositions Comprising A Multifunctional Phosphodiesterase Inhibitor and An Adenosine Uptake Inhibitor"", ""Compounds For Reducing Drug Resistance And Uses Thereof""]",
USPC_Current_Cross_Reference,TEXT,,"[""546/159"", ""514/262.1; 514/312"", ""506/10; 514/250; 514/283; 514/314; 514/49""]",
USPC_Current_Original,TEXT,,"[""514/313"", ""514/263.31"", ""514/34""]",
CPC_Inventive,TEXT,,"[""C07D215/18; C07D215/233; C07D215/36; C07D215/40; C07D215/42; C07D215/44; C07D215/60; C07D239/94; C07D401/12"", ""A61K31/4709; A61K31/4745; A61K31/519; A61K31/522; A61K45/06; A61K31/4709; A61K31/4745; A61K31/519; A61K31/522"", ""A61K31/47; A61K31/4725; A61K31/337; G01N33/5044; A61K31/7068; A61K31/704; A61K31/4995; A61K31/475; A61K31/4709""]",
Diagnostic_and_Surgical_Devices,TEXT,,"[""0"", ""1""]",
Data_Science,TEXT,,"[""0""]",
Cells_and_Enzymes,TEXT,,"[""0""]",
IPC_Primary,TEXT,,"[""A61K31/4709""]",
Model_Systems_and_Animals,TEXT,,"[""0""]",
Family_ID,TEXT,Family ID (simple family). Grouping on family ID will return all publications associated with a simple patent family (all publications share the same priority claims).,"[""35559420"", ""26992976"", ""42340299""]",
NIH_Grant_Recipient_Organization,TEXT,,[],
CPC_Additional,TEXT,,"[""A61K2300/00; A61K2300/00; A61K2300/00; A61K2300/00"", ""G01N2500/04""]",
FDA_Approval_Date,TEXT,,[],
Filing_Date,TEXT,Is this text truncated?,"[""20050916"", ""20071027"", ""20140627""]",
IPC_Secondary,TEXT,,"[""C07D215/38; C07D401/02"", ""A61K31/519; A61K31/522; A61P9/00"", ""A61K31/337; A61K31/475; A61K31/4995; A61K31/704; A61K31/7068; G01N33/50""]",
