column_name,column_type,column_description,sample_value,ref_key
DATE,TIMESTAMP_LTZ,,"[""2021-04-06 00:00:00-07:00"", ""2021-03-30 00:00:00-07:00""]",
ASIN,TEXT,,"[""ASIN_3677"", ""ASIN_12"", ""ASIN_28""]",
NO3_PURCHASED_TITLE,TEXT,,"[""TITLE_4243"", ""TITLE_4255"", ""TITLE_4264""]",
NO3_COMBINATION_PERCENTAGE_RAW,TEXT,,[],
_REVISION,NUMBER,,[1],
PERIOD,TEXT,,"[""WEEKLY""]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2021-09-15 15:05:09-07:00"", ""2021-09-15 15:06:21-07:00""]",
NO2_COMBINATION_PERCENTAGE,FLOAT,,"[0.0833, 0.1111, 0.3333]",
PRODUCT_TITLE,TEXT,,"[""TITLE_89"", ""TITLE_59"", ""TITLE_35""]",
NO3_PURCHASED_ASIN,TEXT,,"[""ASIN_7687"", ""ASIN_7697"", ""ASIN_7706""]",
NO2_PURCHASED_TITLE,TEXT,,"[""TITLE_69"", ""TITLE_2325"", ""TITLE_722""]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
NO3_COMBINATION_PERCENTAGE,FLOAT,,"[0.0417, 0.1111, 0.3333]",
NO1_COMBINATION_PERCENTAGE,FLOAT,,"[0.0833, 0.1111, 0.3333]",
NO1_COMBINATION_PERCENTAGE_RAW,TEXT,,[],
_CREATED_ON,TIMESTAMP_LTZ,,"[""2021-11-06 15:05:09-07:00"", ""2021-11-06 15:06:21-07:00""]",
ID,NUMBER,,"[408636, 408654, 408665]",
NO2_COMBINATION_PERCENTAGE_RAW,TEXT,,[],
NO2_PURCHASED_ASIN,TEXT,,"[""ASIN_3666"", ""ASIN_5840"", ""ASIN_4281""]",
NO1_PURCHASED_TITLE,TEXT,,"[""TITLE_5"", ""TITLE_533"", ""TITLE_591""]",
NO1_PURCHASED_ASIN,TEXT,,"[""ASIN_33"", ""ASIN_4092"", ""ASIN_4150""]",
