column_name,column_type,column_description,sample_value,ref_key
result_id,NUMBER,,"[2, 5, 7]",
laps,NUMBER,,"[58, 55, 53]",
milliseconds,FLOAT,,"[5696094.0, 5708630.0]",
fastest_lap,FLOAT,,"[41.0, 43.0, 54.0]",
position,FLOAT,,"[2.0, 5.0, 7.0]",
race_id,NUMBER,,[18],
driver_id,NUMBER,,"[2, 5, 7]",
rank,FLOAT,,"[3.0, 1.0, 8.0]",
status_id,NUMBER,,"[1, 5, 4]",
points,FLOAT,,"[8.0, 4.0, 2.0]",
constructor_id,NUMBER,,"[2, 1, 5]",
position_order,NUMBER,,"[2, 5, 7]",
fastest_lap_time,TEXT,,"[""1:27.739"", ""1:27.418"", ""1:29.534""]",
time,TEXT,,"[""+5.478"", ""+18.014"", """"]",
grid,NUMBER,,"[5, 3, 17]",
position_text,TEXT,,"[""2"", ""5"", ""7""]",
fastest_lap_speed,TEXT,,"[""217.586"", ""218.385"", ""213.224""]",
number,FLOAT,,"[3.0, 23.0, 14.0]",
