column_name,column_type,column_description,sample_value,ref_key
away_league_name,TEXT,Visiting team school league name (not unique),"[""NCAA MEN""]",
tournament,TEXT,"Indicator of what type of tournament (conference or NCAA) a game was played in, if any","[""NCAA""]",
season,NUMBER,Season the game was played in,[2017],
home_conf_name,TEXT,Home team current conference name (not unique),"[""Big East""]",
home_division_alias,TEXT,Home team current division alias (not unique),"[""D1""]",
event_coord_x,FLOAT,"The location of the play in number of inches from the ""left"" baseline, max 1128",[],
scheduled_date,NUMBER,Date the game was played,[1522543740000000],
home_name,TEXT,Home team name,"[""Wildcats""]",
round,TEXT,"Indicator of which tournament round a game was played in, if any","[""Semifinals""]",
turnover_type,TEXT,Type of turnover,[],
period,NUMBER,"This field indicates which period the event occured in. ""1"" is the first 20-minute half, ""2"" is the second 20-minute half, ""3"" is the first OT, ""4"" is the second OT, etc.","[1, 2]",
venue_capacity,NUMBER,Current capacity of the venue where the game was played,[39500],
team_name,TEXT,Indicator of the school name to which the event was attributed,[],
game_clock,TEXT,Time left in the period in minutes,"[""2:57"", ""6:52"", ""11:58""]",
venue_country,TEXT,Country where the game was played,"[""USA""]",
home_alias,TEXT,Home team school alias (unique),"[""VILL""]",
venue_zip,TEXT,Zip code of the venue where the game was played,"[""78203""]",
player_id,TEXT,Unique identifier for the player to whom the event is attributed,[],
venue_id,TEXT,Unique identifier for the venue where the game was played,"[""290e189d-f189-4c81-b4d8-8bf3221d075b""]",
event_description,TEXT,A description of the event,"[""TV timeout"", ""End of 1st Half.""]",
home_conf_alias,TEXT,Home team current conference alias (not unique),"[""BIGEAST""]",
event_id,TEXT,"Unique identifier for the event (""play"")","[""891d78d7-5b59-4318-b41a-694a181413d8"", ""d6c1ea43-e12f-4444-8219-77de3399d3ef"", ""5493b955-65a4-4a91-8ec7-ce682e1caa5d""]",
venue_address,TEXT,Address of the venue where the game was played,"[""100 Montana Street""]",
tournament_type,TEXT,"Indicator of which conference tournament a game was played in, if any","[""Final Four""]",
game_no,TEXT,"Indicator of which tournament game number a game was, if any","[""Game 2""]",
conference_game,BOOLEAN,Boolean value indicating whether the two teams were in the same conference at the time the game was played,[false],
player_full_name,TEXT,Name for the player to whom the event is attributed,[],
away_name,TEXT,Visiting team name,"[""Jayhawks""]",
away_division_alias,TEXT,Visiting team division alias (not unique),"[""D1""]",
three_point_shot,BOOLEAN,Boolean value indicating whether the event was a three-point shot attempt,[false],
event_type,TEXT,Category of event,"[""tvtimeout"", ""endperiod""]",
type,TEXT,Event subtype giving additional information about the event,[],
shot_subtype,TEXT,"Additional information about shot type (e.g. fadeaway, floating, pullup, step back, turnaround, alley-oop, driving, finger roll, putback, reverse)",[],
venue_name,TEXT,Name of the venue where the game was played,"[""Alamodome""]",
neutral_site,BOOLEAN,Boolean value indicating whether the game was played at a neutral site,[true],
load_timestamp,NUMBER,Time at which the data was loaded into the table,[1522553100000000],
away_division_name,TEXT,Visiting team division name (not unique),"[""NCAA Division I""]",
team_division_alias,TEXT,Indicator of the team current division alias (not unique) to which the event was attributed,[],
team_division_name,TEXT,Indicator of the team current division name (not unique) to which the event was attributed,[],
possession_arrow,TEXT,"The unique identifier of the team that will receive the ball the next time a jump ball is called, see https://en.wikipedia.org/wiki/Jump_ball for more information","[""4383eb6a-7fd8-4ff2-94c5-43c933121e88""]",
shot_made,BOOLEAN,Boolean value indicating whether the event was a shot made,[false],
home_league_name,TEXT,Home team school league name (not unique),"[""NCAA MEN""]",
shot_type,TEXT,"There are 5 categories of shot types: jump shot, layup, hook shot, dunk, tip shot",[],
team_basket,TEXT,The basket (left or right) that the team to which the event is attributed is attacking,[],
timestamp,NUMBER,The time when the event details were last updated,"[1522546560000000, 1522546020000000, 1522549320000000]",
team_conf_alias,TEXT,Indicator of the team current conference alias (not unique) to which the event was attributed,[],
home_market,TEXT,Home team school name,"[""Villanova""]",
timeout_duration,FLOAT,Duration of timeout,[],
away_id,TEXT,"Visiting team school ID from SportRadar (unique)
To enable screen reader support, press Ctrl+Alt+Z To learn about keyboard shortcuts, press Ctrl+slash","[""fae4855b-1b64-4b40-a632-9ed345e1e952""]",
rebound_type,TEXT,Indicator of whether a rebound was offensive or defensive,[],
possession_team_id,TEXT,The id of the team that possessed the ball at the end of the play.,"[""4383eb6a-7fd8-4ff2-94c5-43c933121e88"", ""fae4855b-1b64-4b40-a632-9ed345e1e952""]",
venue_city,TEXT,City where the game was played,"[""San Antonio""]",
team_conf_name,TEXT,Indicator of the team current conference name (not unique) to which the event was attributed,[],
away_alias,TEXT,Visiting team school alias (unique),"[""KU""]",
home_id,TEXT,Home team school ID from SportRadar (unique),"[""4383eb6a-7fd8-4ff2-94c5-43c933121e88""]",
away_conf_alias,TEXT,Visiting team current conference alias (not unique),"[""BIG12""]",
away_conf_name,TEXT,Visiting team current conference name (not unique),"[""Big 12""]",
home_division_name,TEXT,Home team current division name (not unique),"[""NCAA Division I""]",
away_market,TEXT,Visiting team school name,"[""Kansas""]",
status,TEXT,,"[""closed""]",
team_alias,TEXT,Indicator of the team school alias (unique) to which the event was attributed,[],
event_coord_y,FLOAT,"The location of the play in inches from the ""top"" sideline, max 600",[],
team_market,TEXT,Indicator of the team name to which the event was attributed,[],
points_scored,FLOAT,Number of points scored on the play,[],
elapsed_time_sec,NUMBER,Total time elapsed in the game in seconds,"[1023, 788, 1682]",
game_id,TEXT,Unique identifier for the game,"[""d20765db-ba7f-4278-bad6-e1604c9bc0f0""]",
venue_state,TEXT,State where the game was played,"[""TX""]",
jersey_num,NUMBER,Jersey number for the player to whom the event is attributed,[0],
attendance,NUMBER,Attendance of the game,[68257],
team_league_name,TEXT,Indicator of the team school league name (not unique) to which the event was attributed,[],
team_id,TEXT,Indicator of the team school ID from SportRadar (unique) to which the event was attributed,[],
