column_name,column_type,column_description,sample_value,ref_key
eval_unit_created_in_instance,NUMBER,See SURVEY.CREATED_IN_INSTANCE description for definition.,[10839],
eval_unit_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
eval_unit_created_date,DATE,See SURVEY.CREATED_DATE description for definition.,"[""2007-05-01""]",
eval_unit_modified_date,DATE,See SURVEY.MODIFIED_DATE description for definition.,[],
estimation_unit_description,TEXT,"A description of the estimation unit (e.g., name of the county).","[""2""]",
region_or_station_code,NUMBER,Identification number of the Forest Service National Forest System Region or Station (FIA work unit) that provided the inventory data (see appendix B for more information).,[22],
evaluation_identifier,NUMBER,The EVALID code and the RSCD code together uniquely identify a set of field plots and associated Phase 1 summary data used to make population estimates.,"[48501, 88401, 308901]",
phase_1_source,TEXT,Identifies the Phase 1 data source used for this stratification. Examples are NLCD and AERIAL PHOTOS.,[],
area_used_to_calculate_all_expansion_factors,FLOAT,"This value is equivalent to AREATOT_EU when estimates are for all area, including census water; and this value is equivalent to AREALAND_EU when estimates are for land area only.","[26599152.75, 5403153.23, 7578071.68]",
area_source,TEXT,"Identifies the source of the area numbers. Usually, the area source is either the U.S. Census Bureau or area estimates based on pixel counts. Example values are ""US CENSUS 2000"" or ""PIXEL COUNT.""","[""Pixel count""]",
eval_unit_modified_by,TEXT,See SURVEY.MODIFIED_BY description for definition.,[],
estimation_unit_sequence_number,NUMBER,"Foreign key linking the stratum record to the estimation unit record.""=","[471620010839, 472003010839, 475470010839]",
estimation_unit,NUMBER,"The specific geographic area that is stratified. Estimation units are often determined by a combination of geographical boundaries, sampling intensity and ownership.",[2],
evaluation_sequence_number,NUMBER,Foreign key linking the estimation unit record to the evaluation record.,"[445879010839, 445888010839, 445902010839]",
state_code,NUMBER,Bureau of the Census Federal Information Processing Standards (FIPS) two-digit code for each State. Refer to appendix B. For evaluations that do not conform to the boundaries of a single State the value of STATECD should be set to 99.,"[4, 8, 30]",
phase_1_point_count_for_the_estimation_unit,NUMBER,"For remotely sensed data, this will be the total number of pixels in the estimation unit.","[133000, 27015, 37890]",
total_area_within_the_estimation_unit,FLOAT,This includes land and census water enclosed by the estimation unit.,"[26599152.75, 5403153.23, 7578071.68]",
land_area_within_the_estimation_unit,FLOAT,The area of land in acres enclosed by the estimation unit. Census water is excluded.,[0.0],
eval_unit_modified_in_instance,NUMBER,See SURVEY.MODIFIED_IN_INSTANCE description for definition.,[],
