column_name,column_type,column_description,sample_value,ref_key
data,TEXT,,"[""{\""_tag\"":\""WithdrawStakeRewards\"",\""params\"":[{\""vname\"":\""ssnaddr\"",\""type\"":\""ByStr20\"",\""value\"":\""0xB83fC2C72c44B6B869C64384375C979Dc3f7cf05\""}]}"", ""{\""_tag\"":\""SwapExactTokensForTokens\"",\""params\"":[{\""vname\"":\""token0_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0xa845c1034cd077bd8d32be0447239c7e4be6cb21\""},{\""vname\"":\""token1_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0x173ca6770aa56eb00511dac8e6e13b3d7f16a5a5\""},{\""vname\"":\""token0_amount\"",\""type\"":\""Uint128\"",\""value\"":\""3107911954931743\""},{\""vname\"":\""min_token1_amount\"",\""type\"":\""Uint128\"",\""value\"":\""398560201\""},{\""vname\"":\""deadline_block\"",\""type\"":\""BNum\"",\""value\"":\""1235745\""},{\""vname\"":\""recipient_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0x3d460912273389640b46e2beec7ce4f801fdfdd6\""}]}"", ""{\""_tag\"":\""SwapExactTokensForTokens\"",\""params\"":[{\""vname\"":\""token0_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0xa845c1034cd077bd8d32be0447239c7e4be6cb21\""},{\""vname\"":\""token1_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0x173ca6770aa56eb00511dac8e6e13b3d7f16a5a5\""},{\""vname\"":\""token0_amount\"",\""type\"":\""Uint128\"",\""value\"":\""29074816043992962\""},{\""vname\"":\""min_token1_amount\"",\""type\"":\""Uint128\"",\""value\"":\""3840668165\""},{\""vname\"":\""deadline_block\"",\""type\"":\""BNum\"",\""value\"":\""1235325\""},{\""vname\"":\""recipient_address\"",\""type\"":\""ByStr20\"",\""value\"":\""0x814a2c3f4f56fc5a75b12c2f9e7a39e4dfaa7660\""}]}""]",
version,NUMBER,Protocol version specified in block which contained this transaction,[65537],
sender,TEXT,,"[""zil1vqft8ddws0trfvnndm2rl4rc8ylhrd7x3pukf0"", ""zil184rqjy38xwykgz6xu2lwcl8ylqqlmlwk8xpatx"", ""zil1s99zc0602m795ad39sheu73eun065anqaaxmnl""]",
gas_limit,NUMBER,,"[15000, 5000]",
id,TEXT,,"[""0e1be9d0ef463a5a73a413daa2e52c494717f73437017d7f00d3e96d3e6bd25c"", ""1f8ed0062cda90810d5362c7f43b3a1bc5de6654ffee89084b0a991eec9ae426"", ""095d7e2eb11fe58f0a14462bd8a62f565637da70306a0b1b8b6d822180c593e1""]",
signature,BINARY,,"[""bytearray(b'\\xd3\\x1d\\xb6\\x0fq\\x01\\xdb\\xb0\\x01\\x00\\x11;\\xf0O5\\xdc\\x0e\\xb6\\x0c\\x1d\\xb4\\xd8\\x01;\\xdbO;\\x03n\\xfc\\x07\\xbe\\x83\\xdb\\x9eC\\x17\\xdfx\\xd0\\x10\\xc4\\xd7P=\\xe40\\xc1\\xd0AE\\xf4A\\x00\\xd8=}\\xe0/}\\x07q6\\xe3]@\\xef\\xc0\\xb6\\x0f}\\xc2\\xe8_;\\xd81}\\xebP\\xf9\\xdbN\\xfc\\xe00\\x05\\xe7\\xdd;\\xd3\\xbe\\x81\\x07N\\xbb\\x17')"", ""bytearray(b'\\xd3\\x10y\\x13q@\\x03\\x80C\\x0b\\xd0u\\xd3\\xa0\\xc4\\x10@E\\x10\\x11C\\xe4M\\xf4\\x0c>\\xfc\\x0c^\\xb8\\xdf\\xdd=\\x13\\xc1\\x03\\xe7aC\\xd7@\\xfc\\xf3\\xc0\\xf7\\x04\\r\\x83\\x13\\x8fy\\xdb@\\xc3\\xdbP\\x04\\x13^\\xc5\\x03\\xa0\\xfa\\xf7\\x9d\\x82\\xf4\\x11E\\x08Az\\x08M;\\xd4P\\x02\\x0b\\xc1E\\x03^\\xc2\\x07\\xd0\\xc3\\x0b\\x8fE\\xd3\\x90\\xf5\\xd8!B\\xf7')"", ""bytearray(b'\\xd3\\x1d\\xf6\\xeb~\\xfd\\x14]E\\xeb~\\xc2\\xd7P\\x01\\xe3N\\x80\\x00M\\x00\\xdf\\x8ew\\xdfAA\\x17\\xc09\\x0bo|\\xf3\\x9e\\xf4\\x0b\\x8e\\xc4\\xe7\\xde\\xbd\\x14^;\\xeb\\xcfE\\x17n\\x82\\x03\\xbeu\\x03]\\xfd\\x00==\\xd0@\\x00\\x0fPt\\xe7\\x906\\xd3\\xcfw\\xef\\xdd\\xb8\\xe3ot\\xeb\\xbe4\\xdb\\xb07\\xe8A4\\x0f\\xddC\\xdf\\x8dz\\xd7\\x815\\xe7')""]",
amount,NUMBER,,"[""0E-9""]",
accepted,BOOLEAN,,[false],
block_timestamp,NUMBER,Timestamp of the block which contains this transaction,"[1623698578000000, 1624267038000000, 1624249216000000]",
epoch_num,NUMBER,,"[1223518, 1235741, 1235324]",
success,BOOLEAN,,[true],
sender_pub_key,TEXT,,"[""0x02E718E9105D527FC5C61C6CA9AD7C25B24F96295D8F3E895073010612AAAD7B4D"", ""0x02FCC1A23A85D7360CFDF85B1C9D4849B7DBB1A797A9540395EC5DEE44F5CD6EB6"", ""0x03D1A4003C985E6CD1235C4FB7F681D562F03916D1C5B28F3FF3CE913F9F367C1D""]",
gas_price,NUMBER,,[2000000000],
code,TEXT,,[],
block_number,NUMBER,Number of the block which contains this transaction,"[1223518, 1235741, 1235324]",
cumulative_gas,NUMBER,,"[3828, 4084]",
to_addr,TEXT,,"[""zil1v25at4s3eh9w34uqqhe3vdvfsvcwq6un3fupc2"", ""zil1hgg7k77vpgpwj3av7q7vv5dl4uvunmqqjzpv2w""]",
