column_name,column_type,column_description,sample_value,ref_key
removed,BOOLEAN,,[false],
data,TEXT,,"[""0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff37743a25"", ""0x000000000000000000000000000000000000000000000000000000000b06e040"", ""0x0000000000000000000000000000000000000000000000000000000001c9c380""]",
block_number,NUMBER,,"[35766519, 57879301, 57663111]",
transaction_index,NUMBER,,"[30, 31]",
block_hash,TEXT,,"[""0x000000000221c0f700d3b5edf4008489931252f7d0fb12b462e1269618d708b9"", ""0x0000000003732b05059a6ef9604c588aba85a30758c2a6aa569b5b2e1b94aedc"", ""0x00000000036fde871ee28ed62c45ad5242074d77e46d80b85d948d103b252ac4""]",
address,TEXT,,"[""0x1e71ec9329412fc1c0e8feb6444dfa0ab28be078"", ""0xa614f803b6fd780986a42c78ec9c7f77e6ded13c"", ""0xc291f808ee3bc3dad2a28e9d4d3c84d9a7d7caed""]",
log_index,NUMBER,,[16],
block_timestamp,TIMESTAMP_NTZ,,"[""2021-11-25 08:12:54"", ""2024-01-03 08:46:21"", ""2023-12-26 20:33:30""]",
transaction_hash,TEXT,,"[""0x6c90630b605cfaeaa70dfef13eb82e17d4fa7fd91e3f1640fa9c9716fcd56646"", ""0x16aa252947bca98ecb75fc4e897d1d1ea70599f2c22bbef76dfea9f73a935eeb"", ""0x361145591a29241e679292e0a0b0eae9c203849e51aecbc627506316cfd95296""]",
topics,TEXT,,"[""[\""0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925\"",\""0x000000000000000000000000e5f6e116afe2098ce664eada376b119362862b33\"",\""0x0000000000000000000000005981326648e2e048b89d90aad660d18b75a8500c\""]"", ""[\""0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef\"",\""0x000000000000000000000000ce7191f096d3463f9608efdccc8969fc42ce7c05\"",\""0x000000000000000000000000a0aac7b71ee0c1e6de91f9847043dcf6debbe823\""]"", ""[\""0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef\"",\""0x00000000000000000000000079309abcff2cf531070ca9222a1f72c4a5136874\"",\""0x0000000000000000000000006f93995975b07284d6f999d3ba9903f747cd46e0\""]""]",
