column_name,column_type,column_description,sample_value,ref_key
ID,NUMBER,,[],
ORDERED_REVENUE,FLOAT,,[],
_REVISION,NUMBER,,[],
ORDERED_UNITS,FLOAT,,[],
DATE,TIMESTAMP_LTZ,,[],
_CREATED_ON,TIMESTAMP_LTZ,,[],
PERIOD,TEXT,,[],
ORDERED_UNITS_RAW,TEXT,,[],
UNIQUE_CUSTOMERS_PERCENTAGE_OF_TOTAL_RAW,TEXT,,[],
UNIQUE_CUSTOMERS,FLOAT,,[],
ORDERED_REVENUE_RAW,TEXT,,[],
ORDERED_UNITS_PERCENTAGE_OF_TOTAL,FLOAT,,[],
EDUCATION,TEXT,,[],
_PARTNERUUID,TEXT,,[],
UNIQUE_CUSTOMERS_PERCENTAGE_OF_TOTAL,FLOAT,,[],
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,[],
ORDERED_REVENUE_PERCENTAGE_OF_TOTAL_RAW,TEXT,,[],
ORDERED_UNITS_PERCENTAGE_OF_TOTAL_RAW,TEXT,,[],
ORDERED_REVENUE_PERCENTAGE_OF_TOTAL,FLOAT,,[],
