column_name,column_type,column_description,sample_value,ref_key
block_timestamp,NUMBER,,"[1497661993000000, 1599198455000000, 1603221517000000]",
script_asm,TEXT,,"[""304402202ca33e1b95a4e1bd1171cd9421996628497d7a253228356922680cf0ca061b3702207ec249abc3431c499c81e27b4600c120adeabfe48c443cceb1bcce2733833301[ALL] 033365c5909fcf57b55fc504e8f986d2c92f5d56188de5f3f841c3a976af72a608"", ""00208968362b76a68796f8213d663234799294b47b85f0cdb012b1d1a29f5b2da9c9"", """"]",
value,NUMBER,,"[""1186209.000000000"", ""452722.000000000"", ""1242000.000000000""]",
transaction_hash,TEXT,,"[""bead2683cbb2e60d1a4c2498c80303869ea047e4759d4595a000297526094037"", ""ce1fe7f81c72b9c060a981d927daee0d33906dbe12f1f9a4393f0ac658f81a3d"", ""3fc28f75808e61b4ead6caed67963ca149e916eda58aae57536fb104f5e7d5df""]",
spent_transaction_hash,TEXT,,"[""4808df3150e6e5752ffce704695295f0fbc9e31130efbada35003d8de4eba219"", ""331259dfdae8e0ee6759a2ed5408381ce9141a8c90714641c91e0d6b5be17ea7"", ""17d2707728fd2d52a315678061beacc33b4547c908b5a61f8d59f35625922117""]",
index,NUMBER,,"[0, 38, 51]",
addresses,VARIANT,,"[""[\n  \""17HMYBpEbCR4oMXNX5boGHBZfWjG9Q6e8g\""\n]"", ""[\n  \""3DM9EfvPU4EaSJXSq4Rx95NjUFUqN1PPG5\""\n]"", ""[\n  \""bc1qt8y28rmey7r5j02uacftqeg7lq0lhjtjya78wc\""\n]""]",
spent_output_index,NUMBER,,"[14, 10, 23]",
type,TEXT,,"[""pubkeyhash"", ""scripthash"", ""witness_v0_keyhash""]",
script_hex,TEXT,,"[""47304402202ca33e1b95a4e1bd1171cd9421996628497d7a253228356922680cf0ca061b3702207ec249abc3431c499c81e27b4600c120adeabfe48c443cceb1bcce27338333010121033365c5909fcf57b55fc504e8f986d2c92f5d56188de5f3f841c3a976af72a608"", ""2200208968362b76a68796f8213d663234799294b47b85f0cdb012b1d1a29f5b2da9c9"", """"]",
block_number,NUMBER,,"[471609, 646657, 653595]",
block_hash,TEXT,,"[""00000000000000000045bb53b94f58b9329a5153834d66f1f51f108498e4be17"", ""0000000000000000000b9aac0ddb57b073697c170bc961d2ef1c0bd2c317b7e4"", ""0000000000000000000d89802503f9d350f33ca4a7ccbcd6c1465a7f578ac00f""]",
required_signatures,NUMBER,,[1.0],
sequence,NUMBER,,"[4294967295, 0]",
