column_name,column_type,column_description,sample_value,ref_key
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-102.5765842, -102.990532, -103.4674431]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[46.8586984, 46.8681313, 48.5819766]",
fips_class_code,TEXT,Current FIPS class code,"[""C5""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""38""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Gladstone city"", ""South Heart city"", ""Alamo city""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xfb\\x98j\\xc1\\xe6\\xa4Y\\xc0S\\x90D\\xd4\\xe9mG@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x0eiT\\xe0d\\xbfY\\xc0&\\x11+\\xed\\x1eoG@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00j\\xcfv\\x96\\xea\\xddY\\xc0\\xc6\\x04\\x905~JH@')""]",
place_gnis_code,TEXT,Current place GNIS code,"[""01036055"", ""01036274"", ""01035902""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""3830460"", ""3874185"", ""3800940""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[941118, 2477113, 1421856]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[24044, 13231, 61171]",
place_name,TEXT,Full text name of the place,"[""Gladstone"", ""South Heart"", ""Alamo""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""30460"", ""74185"", ""00940""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
