column_name,column_type,column_description,sample_value,ref_key
a_team_tech_fouls,NUMBER,[Away Team stats] Away technical fouls committed by team,[0],
h_blocked_att,NUMBER,[Home Team stats] Number of the home team's shots blocked by the away team,"[5, 8, 4]",
venue_state,TEXT,[Game data] State where the game was played,"[""HI"", ""IA"", ""RI""]",
attendance,NUMBER,[Game data] Attendance of the game,"[2400, 16628, 11559]",
a_free_throws_made,NUMBER,[Away Team stats] Away free throws made,"[20, 22, 14]",
possession_arrow,TEXT,"[Game stats] The unique identifier of the team that would receive the ball the next time a jump ball is called, see https://en.wikipedia.org/wiki/Jump_ball for more information","[""ef13a371-76ed-409c-9aa6-35135183e170"", ""9fccbf28-2858-4263-821c-fdefb3c7efa3"", ""9b166a3f-e64b-4825-bb6b-92c6f0418263""]",
h_two_points_pct,FLOAT,[Home Team stats] Home two-point shot percentage,"[0.553, 0.512, 0.467]",
a_rank,NUMBER,[Away Team stats] Away rank,"[0, 11]",
tournament_game_no,TEXT,[Game data] Tournament game number,"[""Game 2"", ""Game 5""]",
h_league_alias,TEXT,[Home Team data] Home team school league alias (not unique),"[""NCAAM""]",
a_conf_alias,TEXT,[Away Team data] Away team current conference alias (not unique),"[""BIGEAST"", ""AAC"", ""PAC12""]",
a_conf_name,TEXT,[Away Team data] Away team current conference name (not unique),"[""Big East"", ""American Athletic"", ""Pacific 12""]",
a_logo_large,TEXT,[Away Team data] Away team logo 200x200,"[""https://www.ncaa.com/sites/default/files/images/logos/schools/s/st-johns-ny.200.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/u/uconn.200.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/w/wichita-st.200.png""]",
a_logo_small,TEXT,[Away Team data] Away team logo 24x24,"[""https://www.ncaa.com/sites/default/files/images/logos/schools/s/st-johns-ny.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/u/uconn.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/w/wichita-st.24.png""]",
a_defensive_rebounds,NUMBER,[Away Team stats] Away defensive rebounds,"[25, 21, 29]",
h_turnovers,NUMBER,[Home Team stats] Home turnovers,"[12, 11, 19]",
h_second_chance_pts,NUMBER,[Home Team stats] Home second-chance points scored,"[11, 12, 9]",
h_three_points_pct,FLOAT,[Home Team stats] Home three-point shot percentage,"[44.8, 20.0, 33.3]",
h_team_tech_fouls,NUMBER,[Home Team stats] Home technical fouls committed by team,[0],
h_league_name,TEXT,[Home Team data] Home team school league name (not unique),"[""NCAA MEN""]",
tournament,TEXT,[Game data] Whether the game was played in a post-season tournament,"[""NCAA""]",
h_division_id,TEXT,[Home Team data] Home team current division ID (not unique),"[""9c6f6fe5-c9a1-4260-8d87-f9866ca271ba"", ""c5a8d640-5093-4044-851d-2c562e929994""]",
a_personal_fouls,NUMBER,[Away Team stats] Away personal fouls committed,"[19, 26, 21]",
status,TEXT,[Game data] Indicates the last state of Sportradar's game file,"[""closed""]",
a_assists,NUMBER,[Away Team stats] Away assists,"[21, 8, 9]",
a_second_chance_pts,NUMBER,[Away Team stats] Away second-chance points scored,"[6, 11, 17]",
h_ejections,NUMBER,[Home Team stats] Home player ejections,[0],
h_two_points_made,NUMBER,[Home Team stats] Home two-pointers made,"[21, 14, 17]",
a_team_turnovers,NUMBER,[Away Team stats] Away team turnovers,"[0, 1]",
a_assists_turnover_ratio,FLOAT,[Away Team stats] Away assist-to-turnover ratio,"[1.24, 0.8, 1.8]",
a_points_game,NUMBER,[Away Team stats] Away points scored,"[100, 74, 65]",
a_market,TEXT,[Away Team data] Away team school name,"[""St. John's"", ""Connecticut"", ""Wichita State""]",
created,NUMBER,[Table data] Box score data entry time,"[1519141738000000, 1519141535000000, 1519141532000000]",
game_id,TEXT,[Game data] Unique identifier for the game,"[""571be71c-a5bf-446e-bf21-30eb6c54ac5e"", ""1063177e-e168-4055-bdbf-a7fd1e33f398"", ""267af1b7-9c86-4561-bf63-7a379cdaae6d""]",
