column_name,column_type,column_description,sample_value,ref_key
mta_tax,FLOAT,$0.50 MTA tax that is automatically triggered based on the metered rate in use,[],
dropoff_datetime,NUMBER,The date and time when the meter was disengaged.,"[1249557611000000, 1248080854000000, 1231415814000000]",
fare_amount,FLOAT,The time-and-distance fare calculated by the meter,[10.9],
tolls_amount,FLOAT,Total amount of all tolls paid in trip.,[0.0],
total_amount,FLOAT,The total amount charged to passengers. Does not include cash tips,[13.05],
pickup_latitude,FLOAT,Latitude where the meter was engaged,"[40.751204, 40.722916, 40.728584]",
imp_surcharge,FLOAT,$0.30 improvement surcharge assessed trips at the flag drop. The improvement surcharge began being levied in 2015.,[],
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,[1],
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""CREDIT""]",
trip_distance,FLOAT,The elapsed trip distance in miles reported by the taximeter.,"[3.0, 2.4, 3.2]",
tip_amount,FLOAT,Tip amount – This field is automatically populated for credit card tips. Cash tips are not included.,[2.15],
extra,FLOAT,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges.",[0.0],
rate_code,NUMBER,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,[],
pickup_longitude,FLOAT,Longitude where the meter was engaged.,"[-73.994047, -73.998311, -74.002788]",
dropoff_latitude,FLOAT,Latitude where the meter was disengaged,"[40.776694, 40.758863, 40.760388]",
pickup_datetime,NUMBER,The date and time when the meter was engaged.,"[1249556575000000, 1248079910000000, 1231414644000000]",
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka “store and forward,” because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","[""""]",
dropoff_longitude,FLOAT,Longitude where the meter was disengaged.,"[-73.962944, -73.977204, -73.970074]",
vendor_id,TEXT,"A code indicating the TPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc","[""DDS""]",
