column_name,column_type,column_description,sample_value,ref_key
quarter,NUMBER,"Quarter as Integer - [1, 4]","[1, 2]",
date_slash,TEXT,Date as STRING - '2000/12/31',"[""1970/01/26"", ""1970/01/19"", ""1970/02/02""]",
week_iso,NUMBER,"Week Number - First Thursday (ISO) - [0, 53] ; https://en.wikipedia.org/wiki/ISO_week_date","[5, 4, 6]",
year_first_day,DATE,"First Day of Year as DATE - [2000-01-01, 2001-01-01, 2002-01-01, ...]","[""1970-01-01""]",
dow_mon06,NUMBER,"0 = mon, 6 = sun",[0],
half,NUMBER,"Half as Integer - [1, 2]",[1],
quarter_first_day,DATE,"First Day of Quarter as DATE - [2000-01-01, 2000-04-01, 2000-07-01, 2000-10-01]","[""1970-01-01"", ""1970-04-01""]",
month_first_day,DATE,"First Day of Month as DATE - [2000-01-01, 2000-02-01, 2000-03-01, ..., 2000-12-01]","[""1970-01-01"", ""1970-02-01"", ""1970-04-01""]",
dow_sun06,NUMBER,"0 = sun, 6 = sat",[1],
day_abbr,TEXT,"Day as 3-letter STRING - [mon, tue, wed, thu, fri, sat, sun]","[""mon""]",
date_str,TEXT,Date as STRING - '20001231',"[""19700126"", ""19700119"", ""19700202""]",
week_sun,NUMBER,"Week Number - First Sunday - [0, 53]","[4, 3, 5]",
month_abbr,TEXT,"Month as 3-letter STRING - [jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec]","[""jan"", ""feb"", ""apr""]",
year_iso,NUMBER,Year ISO ; https://en.wikipedia.org/wiki/ISO_week_date,[1970],
day,NUMBER,"Day as Integer - [1, 31]","[26, 19, 2]",
dow_mon17,NUMBER,"1 = mon, 7 = sun ; https://en.wikipedia.org/wiki/ISO_week_date)",[1],
dow_sun17,NUMBER,"1 = sun, 7 = sat",[2],
date_dash,TEXT,Date as STRING - '2000-12-31',"[""1970-01-26"", ""1970-01-19"", ""1970-02-02""]",
week_mon,NUMBER,"Week Number - First Monday - [0, 53]","[4, 3, 5]",
date_int,NUMBER,Date as INTEGER - 20001231,"[19700126, 19700119, 19700202]",
half_first_day,DATE,"First Day of Half as DATE - [2000-01-01, 2000-07-01]","[""1970-01-01""]",
month,NUMBER,"Month as Integer - [1, 12]","[1, 2, 4]",
date,DATE,"Date as DATE - CAST('2000-12-31' AS DATE); [1582-10-15, 2199-12-31]","[""1970-01-26"", ""1970-01-19"", ""1970-02-02""]",
year,NUMBER,"Year as Integer - [1, 9999]",[1970],
