column_name,column_type,column_description,sample_value,ref_key
platform,TEXT,Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27,[],
case_barcode,TEXT,"Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details","[""TCGA-12-1601""]",
sample_barcode,TEXT,"Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries","[""TCGA-12-1601-01A""]",
sample_gdc_id,TEXT,,"[""b02fd704-03a6-44c4-b224-f5f457e733f3""]",
aliquot_gdc_id,TEXT,,"[""aa761ca4-e8f0-4a43-8262-bd84eedb459a""]",
file_gdc_id,TEXT,,"[""5cd6f2f6-7278-4757-be8e-a8ae3a7a81d3""]",
case_gdc_id,TEXT,,"[""cc1459be-de8f-482e-9efe-65937db9dc45""]",
beta_value,FLOAT,"Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)","[0.171010188936575, 0.013689902956498, 0.585032413052081]",
probe_id,TEXT,Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe,"[""cg00981643"", ""cg06655100"", ""cg14616651""]",
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-12-1601-01A-01D-0595-05""]",
