column_name,column_type,column_description,sample_value,ref_key
week,NUMBER,"Epidemiological week, which is a standardized way of counting weeks to allow for year-over-year comparisons. Most countries start epi weeks on Mondays, but others vary",[],
start_date,DATE,The first date included in the period,[],
placename,TEXT,The place in the country reported,"[""Mumbai""]",
year,TEXT,Year reported,"[""2020""]",
baseline,TEXT,The years used to calculate expected_deaths,"[""2019 historical data""]",
frequency,TEXT,"Weekly or monthly, depending on how the data is recorded","[""monthly""]",
deaths,NUMBER,The total number of confirmed deaths recorded from any cause,"[8397, 7116, 6692]",
country,TEXT,The country reported,"[""India""]",
month,NUMBER,Numerical month,"[1, 2, 3]",
excess_deaths,NUMBER,The number of deaths minus the expected deaths,"[37, -681, -463]",
expected_deaths,NUMBER,"The baseline number of expected deaths, calculated from a historical average","[8360, 7797, 7155]",
end_date,DATE,The last date included in the period,[],
