column_name,column_type,column_description,sample_value,ref_key
consecutive_number,NUMBER,,"[10007, 10013, 10015]",
state_number,NUMBER,,[1],
nm_othpro,TEXT,,"[""1""]",
nm_othpro_name,TEXT,,"[""No""]",
person_number,NUMBER,,[1],
nm_othpre,TEXT,,"[""1""]",
vehicle_number,NUMBER,,[0],
state_name,TEXT,,"[""Alabama""]",
nm_light_name,TEXT,,"[""No""]",
nm_refclo_name,TEXT,,"[""No""]",
nm_helmet_name,TEXT,,"[""No""]",
nm_othpre_name,TEXT,,"[""No""]",
nm_helmet,TEXT,,"[""1""]",
nm_light,TEXT,,"[""1""]",
nm_propad,TEXT,,"[""1""]",
nm_refclo,TEXT,,"[""1""]",
nm_propad_name,TEXT,,"[""No""]",
