column_name,column_type,column_description,sample_value,ref_key
tip_amount,NUMBER,Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.,"[""0E-9""]",
tolls_amount,NUMBER,Total amount of all tolls paid in trip.,"[""0E-9""]",
data_file_month,NUMBER,Datafile timestamp month value,[4],
data_file_year,NUMBER,Datafile timestamp year value,[2017],
mta_tax,NUMBER,$0.50 MTA tax that is automatically triggered based on the metered rate in use,"[""0.500000000""]",
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""2"", ""1""]",
total_amount,NUMBER,The total amount charged to passengers. Does not include cash tips.,"[""5.800000000""]",
airport_fee,NUMBER,,[],
rate_code,TEXT,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,"[""1""]",
vendor_id,TEXT,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.","[""2"", ""1""]",
trip_distance,NUMBER,The elapsed trip distance in miles reported by the taximeter.,"[""0.720000000"", ""0.600000000"", ""0.700000000""]",
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,"[1, 5]",
pickup_datetime,NUMBER,The date and time when the meter was engaged,"[1491514316000000, 1491516442000000, 1491519932000000]",
imp_surcharge,NUMBER,$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.,"[""0.300000000""]",
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","[""N""]",
dropoff_datetime,NUMBER,The date and time when the meter was disengaged,"[1491514519000000, 1491516657000000, 1491520157000000]",
dropoff_location_id,TEXT,TLC Taxi Zone in which the taximeter was disengaged,"[""239"", ""140"", ""263""]",
fare_amount,NUMBER,The time-and-distance fare calculated by the meter,"[""4.500000000""]",
pickup_location_id,TEXT,TLC Taxi Zone in which the taximeter was engaged,"[""142"", ""140"", ""148""]",
extra,NUMBER,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges","[""0.500000000""]",
