column_name,column_type,column_description,sample_value,ref_key
PERFORMANCE_GEO_ID_ZIP,TEXT,The unique identifier for the contract fulfillment zipcode that is joinable to the GEOGRAPHY_INDEX,"[""zip/90245""]",
PERFORMANCE_STATE,TEXT,The state location where the contract will be fulfilled,"[""California"", ""Lusaka""]",
PERFORMANCE_ZIPCODE,TEXT,The zipcode location where the contract will be fulfilled,"[""90245""]",
ORIGINAL_CONTRACT_TITLE,TEXT,A short summary of the goods and services to be provided to the Federal government in the contract.,"[""The Global Positioning System (GPS) Wing (GPSW) Military GPS User Equipment (MGUE) Request For Information"", ""Z -- Replacement of Steam Lines"", ""73--Culinary Equipment""]",
ORIGINAL_CONTRACT_DESCRIPTION,TEXT,A detailed statement of work and requirements of the services or products to be provided to the Federal government in the contract.,"[""USAID/Zambia is exploring the design of an award to support the Missions local partners holding prime awards. The Mission is releasing this request for information to 1) ascertain the interest and ability of organizations, inclusive of nonprofit and for-profit organizations, to bid on such a solicitation, and 2) to gather input on the draft activity design. Given the nature of this work, there are innate conflict of interest considerations for potential offerors to consider. First, current Mission award holders are not eligible to apply for this work. Second, the successful offeror will be ineligible to apply for other Mission awards during the duration of this contract. See the draft purpose and activity components in the Request for Information attached.""]",
PERFORMANCE_GEO_ID_COUNTRY,TEXT,The unique identifier for the contract fulfillment country that is joinable to the GEOGRAPHY_INDEX,"[""country/USA"", ""country/ZMB""]",
DEPARTMENT,TEXT,"The Federal Department seeking services or products (e.g., Dept of Defense)","[""Dept Of Defense"", ""Agency For International Development""]",
AGENCY_OFFICE,TEXT,"The specific office within the agency handling the contract (e.g., Naval Research Laboratory)","[""Fa8823  Sustainment Mcpnt Ssc/Pkl"", ""Fa3300  42 Cons Cc"", ""Usaid/Zambia""]",
CONTRACT_SOLICITATION_ID,TEXT,Unique solicitation number provided by the System for Award Management (sam.gov) for a specific contract.  Joinable to the GOVERNMENT_CONTRACT_AWARD_INDEX table.,"[""10-65"", ""FA8601-06-B-0003"", ""W911RX-13-t-0148-01""]",
PERFORMANCE_CITY,TEXT,The city location where the contract will be fulfilled,"[""El Segundo"", ""Lusaka""]",
SPECIAL_AWARD_PROVISION,TEXT,Indication of exclusivity for all or part of a contract to be set aside or reserved for a small or underrepresented business,"[""Total Small Business Set-Aside (FAR 19.5)""]",
FIRST_POSTED_DATE,TIMESTAMP_TZ,The earliest date the contract was posted on the System for Award Management (sam.gov),"[""2010-09-28 20:01:58-04:00"", ""2006-06-14 00:00:00-04:00"", ""2013-08-15 11:21:33-04:00""]",
PERFORMANCE_GEO_ID_CITY,TEXT,The unique identifier for the contract fulfillment city that is joinable to the GEOGRAPHY_INDEX,"[""geoId/0622412""]",
PERFORMANCE_COUNTRY,TEXT,The country location where the contract will be fulfilled,"[""United States"", ""Zambia""]",
NAICS_CODE,NUMBER,The North American Industry Classification System code that best classifies the goods or services in the contract opportunity,"[334220.0, 221330.0, 511130.0]",
AGENCY,TEXT,"The agency underneath the department offering the contract (e.g., Dept of Navy)","[""Dept Of The Air Force"", ""Agency For International Development""]",
PERFORMANCE_GEO_ID_STATE,TEXT,The unique identifier for the contract fulfillment state that is joinable to the GEOGRAPHY_INDEX,"[""geoId/06""]",
RESPONSE_DEADLINE,TIMESTAMP_TZ,Deadline for organizations to submit proposals for the contract,"[""2010-10-13 17:00:00-08:00"", ""2006-06-30 00:00:00-05:00"", ""2013-08-19 00:00:00-05:00""]",
NAICS_DESCRIPTION,TEXT,Human-readable description of the industry related to the contract,"[""Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing"", ""Steam and Air-Conditioning Supply"", ""Book Publishers""]",
