column_name,column_type,column_description,sample_value,ref_key
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-08-16 20:17:29-07:00"", ""2022-08-16 20:15:50-07:00"", ""2022-05-28 16:40:02-07:00""]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-05-29 15:34:37-07:00"", ""2022-06-12 03:33:15-07:00"", ""2022-05-29 15:34:46-07:00""]",
ORIGINAL_BALANCE_RAW,TEXT,,[],
_REVISION,NUMBER,,"[7, 83, 4]",
ID,NUMBER,,"[13087, 13105, 13284]",
RAW_RECORD,TEXT,,[],
AGREEMENT_TITLE,TEXT,,"[""TITLE_20491"", ""TITLE_20508"", ""TITLE_20493""]",
AGREEMENT_ID,TEXT,,"[""ID_209"", ""ID_224"", ""ID_208""]",
ORIGINAL_BALANCE,FLOAT,,"[39556.64, 4218.58, 378.29]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
INVOICE_DATE,TIMESTAMP_LTZ,,"[""2021-09-11 00:00:00-07:00"", ""2022-06-11 00:00:00-07:00"", ""2021-07-12 00:00:00-07:00""]",
FUNDING_TYPE,TEXT,,"[""Accrual"", ""null"", ""Vendor Funded Sales Discount""]",
INVOICE_ID,TEXT,,"[""ID_72"", ""ID_240"", ""ID_76""]",
