column_name,column_type,column_description,sample_value,ref_key
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[17163353, 3975936, 6300955]",
fips_class_code,TEXT,Current FIPS class code,"[""C5""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xab\\xd0@,\\x9b.W\\xc0\\x16\\xc0\\x94\\x81\\x03|F@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x001\\xd9\\xd3i\\xb8;V\\xc0\\xb7\\xdcO|k)F@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00I\\xd6\\xe1\\xe8*/V\\xc0\\x13wa\\x10\\xfd\\x04F@')""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[44.968857, 44.3235927, 44.0389729]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""5536250"", ""5586400"", ""5559875""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""36250"", ""86400"", ""59875""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""55""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-92.728221, -88.9331307, -88.736994]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Hudson city"", ""Weyauwega city"", ""Omro city""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
place_gnis_code,TEXT,Current place GNIS code,"[""01583417"", ""01584418"", ""01583859""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
place_name,TEXT,Full text name of the place,"[""Hudson"", ""Weyauwega"", ""Omro""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[2238315, 322114, 336318]",
