column_name,column_type,column_description,sample_value,ref_key
nm_propad,TEXT,,"[""1""]",
nm_helmet,TEXT,,"[""1""]",
nm_propad_name,TEXT,,"[""No""]",
nm_refclo_name,TEXT,,"[""No""]",
consecutive_number,NUMBER,,"[10010, 10046, 10053]",
nm_othpre,TEXT,,"[""1""]",
nm_refclo,TEXT,,"[""1""]",
vehicle_number,NUMBER,,[0],
nm_othpro,TEXT,,"[""1""]",
nm_light,TEXT,,"[""1"", ""2""]",
person_number,NUMBER,,[1],
nm_othpro_name,TEXT,,"[""No""]",
state_name,TEXT,,"[""Alabama""]",
state_number,NUMBER,,[1],
nm_othpre_name,TEXT,,"[""No""]",
nm_helmet_name,TEXT,,"[""No""]",
nm_light_name,TEXT,,"[""No"", ""Yes""]",
