column_name,column_type,column_description,sample_value,ref_key
NCBI_gene_id,TEXT,,"[""57148"", ""57446""]",
gene_description,TEXT,,"[""Ral GTPase activating protein non-catalytic beta subunit"", ""NDRG family member 3""]",
organism,TEXT,,"[""Homo sapiens""]",
gene_id,TEXT,,"[""fa1076d6-b814-11e8-907f-0a2705229b82"", ""f95d35ea-b814-11e8-907f-0a2705229b82""]",
case_id,TEXT,,"[""104c6ce5-2139-11ea-aee1-0e1aae319e49"", ""104c32dc-2139-11ea-aee1-0e1aae319e49"", ""104c47ef-2139-11ea-aee1-0e1aae319e49""]",
proteins,TEXT,,"[""A0A0J9YW54;A2A2F0;NP_001269846.1;NP_001269847.1;NP_065069.1;Q86X10;Q86X10-2;Q86X10-3;Q86X10-4;XP_005260519.1;XP_005260520.1;XP_005260521.1;XP_005260522.1;XP_016883455.1;XP_016883456.1;XP_016883457.1;XP_016883458.1;XP_016883459.1"", ""F8WBF9;NP_071922.2;NP_114402.1;Q5TH29;Q5TH30;Q9UGV2;Q9UGV2-2;Q9UGV2-3;XP_006723900.1;XP_006723901.1;XP_011527227.1;XP_011527228.1;XP_011527229.1;XP_011527230.1;XP_016883467.1;XP_016883468.1;XP_016883469.1""]",
sample_id,TEXT,,"[""104d1510-2139-11ea-aee1-0e1aae319e49"", ""104cd20d-2139-11ea-aee1-0e1aae319e49"", ""104ce864-2139-11ea-aee1-0e1aae319e49""]",
authority,TEXT,,"[""HGNC""]",
authority_gene_id,TEXT,,"[""29221"", ""14462""]",
locus,TEXT,,"[""20q11.23""]",
chromosome,TEXT,,"[""20""]",
gene_symbol,TEXT,,"[""RALGAPB"", ""NDRG3""]",
assays,TEXT,,[],
protein_abundance_log2ratio,FLOAT,,"[-0.0218, 0.0191, -0.0896]",
aliquot_run_metadata_id,TEXT,,"[""b635997c-2154-11ea-8856-0aee84e6d0d3"", ""b63599f2-2154-11ea-8856-0aee84e6d0d3"", ""b6359b6e-2154-11ea-8856-0aee84e6d0d3""]",
uniprotkb_ids,TEXT,,"[""A0A0J9YW54;A2A2F0;Q86X10"", ""F8WBF9;Q5TH29;Q5TH30;Q9UGV2""]",
aliquot_id,TEXT,,"[""104db30d-2139-11ea-aee1-0e1aae319e49"", ""104d784e-2139-11ea-aee1-0e1aae319e49"", ""104d8c56-2139-11ea-aee1-0e1aae319e49""]",
study_name,TEXT,,"[""CPTAC GBM Discovery Study - Proteome""]",
uniprotkb_id,TEXT,,"[""Q86X10"", ""Q5TH29""]",
aliquot_submitter_id,TEXT,,"[""CPT0168830003"", ""CPT0189460003"", ""CPT0087570003""]",
