column_name,column_type,column_description,sample_value,ref_key
fe_area,TEXT,,"[""nw""]",
name,TEXT,,"[""Perkins"", ""Butte"", ""Bailey""]",
cwa,TEXT,,"[""UNR"", ""LUB""]",
shape_geometry,BINARY,,[],
shortname,TEXT,,"[""Perkins"", ""Butte"", ""Bailey""]",
lon,FLOAT,,"[-102.4759, -103.5081, -102.8298]",
state,TEXT,,"[""SD"", ""TX""]",
state_zone,TEXT,,"[""SD002"", ""SD012"", ""TX027""]",
zone,TEXT,,"[""002"", ""012"", ""027""]",
time_zone,TEXT,,"[""M"", ""C""]",
lat,FLOAT,,"[45.4904, 44.9058, 34.0685]",
