column_name,column_type,column_description,sample_value,ref_key
pop_stratum_adjustment_factor_for_piles,FLOAT,Ratio of target divided by sampled transect length or area for piles on all partially and fully sampled plots in stratum.,[],
estimation_unit_sequence_number,NUMBER,"Foreign key linking the stratum record to the estimation unit record.""=","[8, 9]",
adj_factor_regen_micr,TEXT,,[],
stratum_description,TEXT,"Strata are usually based on land use (e.g., forest or nonforest) but may also be based on other criteria such as ownership (e.g., private/public/national forest).","[""FIACA-94-California remotely sensed area, no NFS""]",
phase_1_point_count,NUMBER,The number of basic units (pixels or points) in the stratum.,[1],
adjustment_factor_for_the_microplot,FLOAT,"A value that adjusts population estimates to account for partially nonsampled plots (access denied and hazardous portions). It is used with POP_STRATUM.EXPNS and seedlings per acre unadjusted (SEEDLING.TPA_UNADJ) or saplings per acre unadjusted (TREE.TPA_UNADJ where TREE DIA <5.0) to provide tree estimates for sampled land. Refer to The Forest Inventory and Analysis Database: Population Estimation User Guide (Edition: March, 2017) for detailed examples.",[],
phase_2_point_count,NUMBER,The number of field plots that are within the stratum.,[1],
pop_stratum_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
pop_stratum_modified_by,TEXT,See SURVEY.MODIFIED_BY description for definition.,[],
estimation_unit,NUMBER,"The specific geographic area that is stratified. Estimation units are often determined by a combination of geographical boundaries, sampling intensity and ownership.","[992, 993]",
adjustment_factor_for_small_fine_woody_debris,FLOAT,Ratio of transect length that was sampled for small fine woody debris on all partially and fully sampled plots in stratum.,[],
adjustment_factor_for_the_subplot,FLOAT,"Adjustment factor for the subplot. A value that adjusts the population estimates to account for partially nonsampled plots (access denied and hazardous portions). It is used with condition proportion (COND.CONDPROP_UNADJ) and area expansion (EXPNS) to provide area estimates, when COND.PROP_BASIS = """"SUBP"""" (indicating subplots installed). ADJ_FACTOR_SUBP is also used with EXPNS and trees per acre unadjusted (TREE.TPA_UNADJ, TREE.TPAMORT_UNADJ, TREE.TPAREMV_UNADJ, TREE.TPAGROW_UNADJ) to provide tree estimates for sampled land. Refer to The Forest Inventory and Analysis Database: Population Estimation User Guide (Edition: March, 2017) for detailed examples.",[1.0],
stratum_code,NUMBER,"The code used for a particular stratum, which is unique within an RSCD, EVALID, ESTN_UNIT.","[2171, 2173, 2174]",
pop_stratum_created_in_instance,NUMBER,See SURVEY.CREATED_IN_INSTANCE description for definition.,[20004],
adjustment_factor_for_large_fine_woody_debris,FLOAT,Ratio of transect length that was sampled for large fine woody debris on all partially and fully sampled plots in stratum.,[],
adjustment_factor_for_coarse_woody_debris,FLOAT,Ratio of transect length that was sampled for coarse woody debris on all partially and fully sampled plots in stratum.,[],
adj_factor_grndlyr_quad,TEXT,,[],
adjustment_factor_for_the_macroplot,FLOAT,"Adjustment factor for the macroplot. A value that adjusts the population estimates to account for partially nonsampled plots (access denied and hazardous portions). It is used with condition proportion (COND.CONDPROP_UNADJ) and area expansion (EXPNS) to provide area estimates, when COND.PROP_BASIS = """"MACR"""" (indicating macroplot installed). ADJ_FACTOR_MACR is also used with EXPNS and trees per acre unadjusted (TREE.TPA_UNADJ, TREE.TPAMORT_UNADJ, TREE.TPAREMV_UNADJ, TREE.TPAGROW_UNADJ) to provide tree estimates for sampled land. If a macroplot was not installed, this attribute is left blank (null). Refer to The Forest Inventory and Analysis Database: Population Estimation User Guide (Edition: March, 2017) for detailed examples.",[],
adjustment_factor_for_the_duff_and_litter_layer,FLOAT,Ratio of points that were sampled for duff and litter to target number of points for all partially and fully sampled plots in stratum.,[],
adj_factor_p2veg_subp,TEXT,,[],
expansion_factor,FLOAT,expansion_factor,"[91039.0, 97826.0, 98934.0]",
stratum_sequence_number,NUMBER,Foreign key linking the condition down woody material calculation record to the population stratum record.,"[2171, 2173, 2174]",
state_code,NUMBER,Bureau of the Census Federal Information Processing Standards (FIPS) two-digit code for each State. Refer to appendix B. For evaluations that do not conform to the boundaries of a single State the value of STATECD should be set to 99.,[6],
pop_stratum_modified_in_instance,NUMBER,See SURVEY.MODIFIED_IN_INSTANCE description for definition.,[],
adj_factor_inv_subp,TEXT,,[],
region_or_station_code,NUMBER,Identification number of the Forest Service National Forest System Region or Station (FIA work unit) that provided the inventory data (see appendix B for more information).,[26],
pop_stratum_modified_date,DATE,See SURVEY.MODIFIED_DATE description for definition.,[],
pop_stratum_created_date,DATE,See SURVEY.CREATED_DATE description for definition.,"[""2012-12-17""]",
evaluation_identifier,NUMBER,The EVALID code and the RSCD code together uniquely identify a set of field plots and associated Phase 1 summary data used to make population estimates.,[69401],
