column_name,column_type,column_description,sample_value,ref_key
state_fips_code,TEXT,,"[""66"", ""72"", ""78""]",
division_code,TEXT,,"[""0"", ""1""]",
area_water_meters,NUMBER,,"[934337453, 4922576715, 1550236199]",
int_point_lon,FLOAT,,"[144.7719021, -66.4107992, -64.9712508]",
functional_status,TEXT,,"[""A""]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd7f\\x08l\\xb3\\x18b@%V\\xebi,\\xe2*@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00EN\\xba\\x88J\\x9aP\\xc02\\n\\x82\\xc7\\xb772@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xb0\\x8d\\x1d\\xf9(>P\\xc0\\x8d\\x08\\xc6\\xc1\\xa5S2@')""]",
state_gnis_code,TEXT,,"[""01802705"", ""01779808"", ""01802710""]",
geo_id,TEXT,,"[""66"", ""72"", ""78""]",
state,TEXT,,"[""GU"", ""PR"", ""VI""]",
region_code,TEXT,,"[""9"", ""1""]",
area_land_meters,NUMBER,,"[543555844, 8868701898, 348021896]",
state_name,TEXT,,"[""Guam"", ""Puerto Rico"", ""United States Virgin Islands""]",
int_point_lat,FLOAT,,"[13.4417451, 18.217648, 18.326748]",
state_geom,BINARY,,[],
mtfcc_feature_class_code,TEXT,,"[""G4000""]",
lsad_code,TEXT,,"[""00""]",
