column_name,column_type,column_description,sample_value,ref_key
residualReferences,VARIANT,,"[""[]""]",
childGroups,VARIANT,,"[""[\n  {\n    \""description\"": \""TEXTILES OR FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR\"",\n    \""symbols\"": [\n      \""D01\"",\n      \""D02\"",\n      \""D03\"",\n      \""D04\"",\n      \""D05\"",\n      \""D06\"",\n      \""D07\"",\n      \""D10\""\n    ]\n  },\n  {\n    \""description\"": \""PAPER\"",\n    \""symbols\"": [\n      \""D21\""\n    ]\n  },\n  {\n    \""description\"": \""\"",\n    \""symbols\"": [\n      \""D99\""\n    ]\n  }\n]"", ""[\n  {\n    \""description\"": \""\"",\n    \""symbols\"": [\n      \""H01\"",\n      \""H02\"",\n      \""H03\"",\n      \""H04\"",\n      \""H05\"",\n      \""H10\"",\n      \""H99\""\n    ]\n  }\n]"", ""[\n  {\n    \""description\"": \""AGRICULTURE\"",\n    \""symbols\"": [\n      \""A01\""\n    ]\n  },\n  {\n    \""description\"": \""FOODSTUFFS; TOBACCO\"",\n    \""symbols\"": [\n      \""A21\"",\n      \""A22\"",\n      \""A23\"",\n      \""A24\""\n    ]\n  },\n  {\n    \""description\"": \""PERSONAL OR DOMESTIC ARTICLES\"",\n    \""symbols\"": [\n      \""A41\"",\n      \""A42\"",\n      \""A43\"",\n      \""A44\"",\n      \""A45\"",\n      \""A46\"",\n      \""A47\""\n    ]\n  },\n  {\n    \""description\"": \""HEALTH; AMUSEMENT\"",\n    \""symbols\"": [\n      \""A61\"",\n      \""A62\"",\n      \""A63\""\n    ]\n  },\n  {\n    \""description\"": \""\"",\n    \""symbols\"": [\n      \""A99\""\n    ]\n  }\n]""]",
parents,VARIANT,,"[""[]"", ""[\n  \""A\""\n]""]",
synonyms,VARIANT,,"[""[]""]",
breakdownCode,BOOLEAN,,[false],
precedenceLimitingReferences,VARIANT,,"[""[]""]",
titlePart,VARIANT,,"[""[\n  \""TEXTILES\"",\n  \""PAPER\""\n]"", ""[\n  \""PERFORMING OPERATIONS\"",\n  \""TRANSPORTING\""\n]"", ""[\n  \""ELECTRICITY\""\n]""]",
scopeLimitingReferences,VARIANT,,"[""[]""]",
symbol,TEXT,,"[""D"", ""B"", ""H""]",
ipcConcordant,TEXT,,"[""""]",
applicationReferences,VARIANT,,"[""[]""]",
glossary,VARIANT,,"[""[]""]",
dateRevised,FLOAT,,"[20130101.0, 20160501.0, 20200101.0]",
status,TEXT,,"[""published""]",
limitingReferences,VARIANT,,"[""[]""]",
level,FLOAT,,"[2.0, 4.0]",
rules,VARIANT,,"[""[]""]",
informativeReferences,VARIANT,,"[""[]""]",
children,VARIANT,,"[""[\n  \""D01\"",\n  \""D02\"",\n  \""D03\"",\n  \""D04\"",\n  \""D05\"",\n  \""D06\"",\n  \""D07\"",\n  \""D10\"",\n  \""D21\"",\n  \""D99\""\n]"", ""[\n  \""B01\"",\n  \""B02\"",\n  \""B03\"",\n  \""B04\"",\n  \""B05\"",\n  \""B06\"",\n  \""B07\"",\n  \""B08\"",\n  \""B09\"",\n  \""B21\"",\n  \""B22\"",\n  \""B23\"",\n  \""B24\"",\n  \""B25\"",\n  \""B26\"",\n  \""B27\"",\n  \""B28\"",\n  \""B29\"",\n  \""B30\"",\n  \""B31\"",\n  \""B32\"",\n  \""B33\"",\n  \""B41\"",\n  \""B42\"",\n  \""B43\"",\n  \""B44\"",\n  \""B60\"",\n  \""B61\"",\n  \""B62\"",\n  \""B63\"",\n  \""B64\"",\n  \""B65\"",\n  \""B66\"",\n  \""B67\"",\n  \""B68\"",\n  \""B81\"",\n  \""B82\"",\n  \""B99\""\n]"", ""[\n  \""H01\"",\n  \""H02\"",\n  \""H03\"",\n  \""H04\"",\n  \""H05\"",\n  \""H10\"",\n  \""H99\""\n]""]",
definition,VARIANT,,"[""[]""]",
titleFull,TEXT,,"[""TEXTILES; PAPER"", ""PERFORMING OPERATIONS; TRANSPORTING"", ""ELECTRICITY""]",
notAllocatable,BOOLEAN,,[true],
