column_name,column_type,column_description,sample_value,ref_key
county_fips_code,TEXT,Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all`,"[""003"", ""005"", ""001""]",
tract_ce,TEXT,Current Census tract code,"[""990100"", ""990000"", ""042201""]",
mtfcc_feature_class_code,TEXT,MAF/TIGER feature class code (G5030),"[""G5030""]",
internal_point_geom,BINARY,"Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x90/\\xa1\\x82C\\xe2R\\xc0\\xdd\\xe0\\xfafQ\\xcbC@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xe3\\x11\\x81\\x8ff\\xceR\\xc0:\\xb1\\x87\\xf6\\xb1nC@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x1f\\x91\\x00\\x7f\\xc2\\xdfR\\xc0\\xdfuG\\x10\\xf8\\x8bC@')""]",
internal_point_lon,FLOAT,"Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[-75.5353705, -75.2250098, -75.4962461]",
area_water_meters,NUMBER,Current water area,"[123243747, 534627917, 158242]",
blockgroup_ce,TEXT,Current block group number,"[""0"", ""1""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states`,"[""10""]",
lsad_name,TEXT,Current translated legal/statistical area description and the block group number,"[""Block Group 0"", ""Block Group 1""]",
internal_point_lat,FLOAT,"Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[39.5884217, 38.864806, 39.0935078]",
area_land_meters,NUMBER,Current land area,"[0, 12375692, 6926053]",
blockgroup_geom,BINARY,Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
geo_id,TEXT,"Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number.","[""100039901000"", ""100059900000"", ""100010422011""]",
functional_status,TEXT,Current functional status,"[""S""]",
