column_name,column_type,column_description,sample_value,ref_key
SEASONALLY_ADJUSTED,TEXT,Indicates whether the value is seasonally adjusted.,"[""Not seasonally adjusted""]",
ITEM_DESCRIPTION,TEXT,The item category referenced as part of the harmonized index of consumer prices.,"[""All-Items Excluding Energy"", ""Education, Health And Social Protection"", ""Articles For Personal Hygiene And Wellness, Esoteric Products And Beauty Products""]",
VARIABLE,TEXT,"Unique identifier for a variable, joinable to the timeseries table.","[""harmonized_index_of_consumer_prices_allitems_excluding_energy_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points"", ""harmonized_index_of_consumer_prices_education_health_and_social_protection_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100"", ""harmonized_index_of_consumer_prices_articles_for_personal_hygiene_and_wellness_esoteric_products_and_beauty_products_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_count""]",
MEASURE,TEXT,Quantifiable attribute or subject; description of what is being recorded.,"[""Harmonized Index Of Consumer Prices""]",
UNIT,TEXT,Unit of measurement for the reported value.,"[""Points"", ""Index, 2015=100"", ""Count""]",
GEO_COVERAGE,TEXT,"Determines whether the variable relates to part or all of a country (e.g., Whole country, Large cities, National excluding capital city).",[],
MEASUREMENT_TYPE,TEXT,"Details how the variable was measured or calculated; specifications for the type of unit measured (e.g., 3-month moving average (Average of observations through period)).","[""Contribution to growth rate (Average of observations through period)"", ""Index (Average of observations through period)"", ""Annual rate of change (Average of observations through period)""]",
VARIABLE_NAME,TEXT,Human-readable unique name for the variable.,"[""Harmonized Index Of Consumer Prices - All-Items Excluding Energy, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points"", ""Harmonized Index Of Consumer Prices - Education, Health And Social Protection, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100"", ""Harmonized Index Of Consumer Prices - Articles For Personal Hygiene And Wellness, Esoteric Products And Beauty Products, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Count""]",
SOURCE,TEXT,Source where the variable is originally collected or published.,"[""European Central Bank (ECB)"", ""Eurostat""]",
FREQUENCY,TEXT,Frequency of aggregations.,"[""Monthly""]",
