column_name,column_type,column_description,sample_value,ref_key
place_gnis_code,TEXT,Current place GNIS code,"[""02409650"", ""02412067"", ""02409846""]",
place_name,TEXT,Full text name of the place,"[""Anaconda-Deer Lodge County"", ""Three Forks"", ""Big Timber""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""3001675"", ""3073975"", ""3006475""]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xe0\\x95n\\\\\\x10I\\\\\\xc0\\x14\\xee\\xf02\\x1e\\x0cG@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x9a\\xa3}bS\\xe3[\\xc0r\\x02\\xd3i\\xdd\\xf1F@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xf5\\x13\\xcen\\xad|[\\xc0)M\\x94\\xce\\xd1\\xeaF@')""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""00"", ""25""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-113.1416236, -111.5519644, -109.9480855]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[46.0946716, 45.8895695, 45.8345278]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""01675"", ""73975"", ""06475""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[1907999322, 3775089, 2388144]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[12199471, 148667, 81242]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""30""]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Anaconda-Deer Lodge County"", ""Three Forks city"", ""Big Timber city""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
