column_name,column_type,column_description,sample_value,ref_key
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""33120"", ""77580"", ""41830""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[38.9241263, 39.7356508, 38.778644]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x005\\xc0\\xbbK\\x98\\xe4R\\xc0\\xce\\xefE\\xc5IvC@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00R\\xe4Z\\xfe\\r\\xe2R\\xc0\\\\\\xa3/\\xce)\\xdeC@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xe0\\xf2X32\\xc9R\\xc0\\x02\\x9dI\\x9b\\xaacC@')""]",
place_gnis_code,TEXT,Current place GNIS code,"[""02390598"", ""02390676"", ""02390609""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Harrington city"", ""Wilmington city"", ""Lewes city""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25"", ""43""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""1033120"", ""1077580"", ""1041830""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,"[false, true]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""10""]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[18927, 15639764, 2387631]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[7052329, 28241497, 10009262]",
place_name,TEXT,Full text name of the place,"[""Harrington"", ""Wilmington"", ""Lewes""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-75.5717954, -75.5321041, -75.143689]",
