column_name,column_type,column_description,sample_value,ref_key
area_land_meters,FLOAT,,"[63793698.0, 19029084.0, 84787843.0]",
internal_point_lat,FLOAT,,"[41.1669027, 41.7002727, 35.276005]",
zip_code,TEXT,,"[""44253"", ""60643"", ""28214""]",
zip_code_geom,BINARY,,[],
fips_class_code,TEXT,,"[""B5""]",
area_water_meters,FLOAT,,"[47031.0, 32576.0, 4646964.0]",
state_code,TEXT,,"[""OH"", ""IL"", ""NC""]",
state_fips_code,TEXT,,"[""39"", ""17"", ""37""]",
county,TEXT,,"[""Medina"", ""Cook County, DuPage County"", ""Mecklenburg County""]",
functional_status,TEXT,,"[""S""]",
state_name,TEXT,,"[""Ohio"", ""Illinois"", ""North Carolina""]",
internal_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x91_\\xe4\\n\\x14\\x82T\\xc0\\x9c\\x0eS\\x11]\\x95D@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x000\\xe0\\x1b\\xf9r\\xeaU\\xc0\\x0cd,\\x89\\xa2\\xd9D@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xc8l\\x7f\\x1d\\xee=T\\xc0)D\\xc0!T\\xa3A@')""]",
mtfcc_feature_class_code,TEXT,,"[""G6350""]",
city,TEXT,,"[""Litchfield"", ""Chicago city"", ""Charlotte city""]",
internal_point_lon,FLOAT,,"[-82.0324733, -87.6632674, -80.9676584]",
