column_name,column_type,column_description,sample_value,ref_key
load_time,NUMBER,Date and time indicating when record was inserted into Quick Stats database.,[1356912000000000],
group_desc,TEXT,"Subsets within sector (e.g., under sector = CROPS, the groups are FIELD CROPS, FRUIT & TREE NUTS, HORTICULTURE, and VEGETABLES).","[""VEGETABLES"", ""FIELD CROPS""]",
short_desc,TEXT,"A concatenation of six columns: commodity_desc, class_desc, prodn_practice_desc, util_practice_desc, statisticcat_desc, and unit_desc.","[""ASPARAGUS - OPERATIONS WITH AREA HARVESTED"", ""CELERY, FRESH MARKET - OPERATIONS WITH AREA HARVESTED"", ""PEPPERS, BELL - OPERATIONS WITH AREA HARVESTED""]",
value_suppression_code,TEXT,Any suppression codes used to avoid displaying data that should not be disclosed or from putting out data lower than the precision level defined by NASS. Code definitions can be found in the NASS publications.,[],
agg_level_desc,TEXT,"Aggregation level or geographic granularity of the data (e.g., STATE, AG DISTRICT, COUNTY, REGION, ZIP CODE).","[""COUNTY""]",
commodity_desc,TEXT,"The primary subject of interest (e.g., CORN, CATTLE, LABOR, TRACTORS, OPERATORS).","[""ASPARAGUS"", ""CELERY"", ""PEPPERS""]",
begin_code,NUMBER,"If applicable, a 2-digit code corresponding to the beginning of the reference period (e.g., for freq_desc = MONTHLY, begin_code ranges from 01 (January) to 12 (December)).",[0],
sector_desc,TEXT,"Five high level, broad categories useful to narrow down choices (CROPS, ANIMALS & PRODUCTS, ECONOMICS, DEMOGRAPHICS, and ENVIRONMENTAL).","[""CROPS""]",
watershed_desc,TEXT,Name assigned to the HUC.,[],
unit_desc,TEXT,"The unit associated with the statistic category (e.g., ACRES, $ / LB, HEAD, $, OPERATIONS).","[""OPERATIONS""]",
country_name,TEXT,Country name.,"[""UNITED STATES""]",
congr_district_code,NUMBER,US Congressional District 2-digit code.,[],
region_desc,TEXT,"NASS defined geographic entities not readily defined by other standard geographic levels. A region can be a less than a state (SUB-STATE) or a group of states (MULTI-STATE), and may be specific to a commodity.",[],
domain_desc,TEXT,"Generally another characteristic of operations that produce a particular commodity (e.g., ECONOMIC CLASS, AREA OPERATED, NAICS CLASSIFICATION, SALES). For chemical usage data, the domain describes the type of chemical applied to the commodity. The domain = TOTAL will have no further breakouts; i.e., the data value pertains completely to the short_desc.","[""TOTAL"", ""AREA HARVESTED""]",
reference_period_desc,TEXT,"The specific time frame, within a freq_desc.","[""YEAR""]",
country_code,NUMBER,"US Census Bureau, Foreign Trade Division 4-digit country code, as of April, 2007.",[9000],
statisticcat_desc,TEXT,"The aspect of a commodity being measured (e.g., AREA HARVESTED, PRICE RECEIVED, INVENTORY, SALES).","[""AREA HARVESTED""]",
class_desc,TEXT,"Generally a physical attribute (e.g., variety, size, color, gender) of the commodity.","[""ALL CLASSES"", ""BELL""]",
asd_desc,TEXT,Ag statistics district name.,"[""NORTH""]",
watershed_code,NUMBER,US Geological Survey (USGS) 8-digit Hydrologic Unit Code (HUC) for watersheds.,[0],
cv_suppression_code,TEXT,Any suppression codes used to avoid displaying data that should not be disclosed or from putting out data lower than the precision level defined by NASS. Code definitions can be found in the NASS publications.,"[""(L)""]",
util_practice_desc,TEXT,"Utilizations (e.g., GRAIN, FROZEN, SLAUGHTER) or marketing channels (e.g., FRESH MARKET, PROCESSING, RETAIL).","[""ALL UTILIZATION PRACTICES"", ""FRESH MARKET""]",
week_ending,DATE,"Week ending date, used when freq_desc = WEEKLY.",[],
state_name,TEXT,State full name.,"[""NEW JERSEY""]",
value,FLOAT,Published data value.,"[1.0, 15.0, 46.0]",
county_name,TEXT,County name.,"[""SOMERSET""]",
zip_5,NUMBER,US Postal Service 5-digit zip code.,[],
year,NUMBER,The numeric year of the data.,[2012],
domaincat_desc,TEXT,"Categories or partitions within a domain (e.g., under domain = SALES, domain categories include $1,000 TO $9,999, $10,000 TO $19,999, etc).","[""NOT SPECIFIED"", ""AREA HARVESTED: (25.0 TO 99.9 ACRES)""]",
location_desc,TEXT,Full description for the location dimension.,"[""NEW JERSEY, NORTH, SOMERSET""]",
asd_code,NUMBER,"NASS defined county groups, unique within a state, 2-digit ag statistics district code.",[20],
source_desc,TEXT,"Source of data (CENSUS or SURVEY). Census program includes the Census of Ag as well as follow up projects. Survey program includes national, state, and county surveys.","[""CENSUS""]",
state_ansi,NUMBER,American National Standards Institute (ANSI) standard 2-digit state codes.,[34],
state_alpha,TEXT,"State abbreviation, 2-character alpha code.","[""NJ""]",
cv_percent,FLOAT,Coefficient of variation. Available for the 2012 Census of Agriculture only. County-level CVs are generalized.,"[15.3, 8.4, 7.2]",
county_code,NUMBER,NASS 3-digit county codes; includes 998 for OTHER (COMBINED) COUNTIES and Alaska county codes; otherwise match ANSI codes.,[35],
prodn_practice_desc,TEXT,"A method of production or action taken on the commodity (e.g., IRRIGATED, ORGANIC, ON FEED).","[""ALL PRODUCTION PRACTICES""]",
county_ansi,NUMBER,ANSI standard 3-digit county codes.,[35],
end_code,NUMBER,"If applicable, a 2-digit code corresponding to the end of the reference period (e.g., the reference period of JAN THRU MAR will have begin_code = 01 and end_code = 03).",[0],
state_fips_code,NUMBER,"NASS 2-digit state codes; include 99 and 98 for US TOTAL and OTHER STATES, respectively; otherwise match ANSI codes.",[34],
freq_desc,TEXT,"Length of time covered (ANNUAL, SEASON, MONTHLY, WEEKLY, POINT IN TIME). MONTHLY often covers more than one month. POINT IN TIME is as of a particular day.","[""ANNUAL""]",
