column_name,column_type,column_description,sample_value,ref_key
mflag,TEXT,,[],
qflag,TEXT,,[],
element,TEXT,,"[""SNWD"", ""SNOW"", ""TMIN""]",
source_url,TEXT,Source ,"[""ftp://ftp.ncei.noaa.gov/pub/data/ghcn/daily/by_year/2017.csv.gz""]",
etl_timestamp,NUMBER,Load time for this data row,[1689799403864424],
value,FLOAT,,"[0.0, 100.0, 250.0]",
time,TEXT,,"[""0730"", ""0800"", ""0700""]",
sflag,TEXT,,"[""7""]",
id,TEXT,,"[""USC00335939"", ""USC00455305"", ""USC00297386""]",
date,DATE,,"[""2017-08-30""]",
