column_name,column_type,column_description,sample_value,ref_key
analyte_barcode,TEXT,Original/submitter analyte ID,"[""TCGA-BH-A0B8-11A-41D"", ""TCGA-BH-A0DO-11A-22D""]",
sample_gdc_id,TEXT,"Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal","[""f62006a0-500c-46dc-ab01-27550680494e"", ""9db89883-6f94-48f8-aefb-b0aaf6344924""]",
case_barcode,TEXT,"Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc","[""TCGA-BH-A0B8"", ""TCGA-BH-A0DO""]",
sample_is_ffpe,TEXT,"Whether a smaple is FFPE, either  False,  None ,  True, or null","[""False""]",
sample_type_name,TEXT,"The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.","[""Solid Tissue Normal""]",
sample_barcode,TEXT,Original/submitter sample ID,"[""TCGA-BH-A0B8-11A"", ""TCGA-BH-A0DO-11A""]",
sample_preservation_method,TEXT,"Sample Preservation Method, usually null or  FFPE, also Snap Frozen or Frozen",[],
project_id,TEXT,"ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.","[""TCGA-BRCA""]",
analyte_gdc_id,TEXT,Analyte GDC ID,"[""e7d80ce3-038f-4a17-867f-5c5928a750a4"", ""30407452-27f0-4f78-a657-102a712a620f""]",
portion_barcode,TEXT,Original/submitter portion ID,"[""TCGA-BH-A0B8-11A-04"", ""TCGA-BH-A0DO-11A-22""]",
aliquot_gdc_id,TEXT,"Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal","[""4e89156f-3e45-4d78-bd6f-589f04d44236"", ""bd021089-acf9-41c6-8c2c-cce1d1a507be"", ""75d1145a-26a4-4f3c-b30c-54b2c1fb9534""]",
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-BH-A0B8-11A-41D-A092-01"", ""TCGA-BH-A0B8-11A-41D-A093-05"", ""TCGA-BH-A0DO-11A-22D-A12A-01""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
sample_type,TEXT,"Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.","[""11""]",
portion_gdc_id,TEXT,Portion GDC ID,"[""114e30cb-d6db-4656-ab9e-05bc27b7ae81"", ""663bfa1d-4f54-4e35-b523-17e3ab6442e3""]",
case_gdc_id,TEXT,GDC unique identifier,"[""d3a75976-67d3-40fa-9f6f-cf2a3d7b773c"", ""d3d4d709-ab34-4617-aa8c-51a3d0a3efe6""]",
