column_name,column_type,column_description,sample_value,ref_key
internal_point_lat,FLOAT,"Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[41.470384, 42.0626995, 41.7078392]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states`,"[""25""]",
internal_point_geom,BINARY,"Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xed\\xee\\xa6\\x00=\\xb6Q\\xc0\\xe5G\\xfc\\x8a5\\xbcD@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x9cqu[\\xfd\\xa3Q\\xc0\\xe0\\xfc\\x86\\x89\\x06\\x08E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00#\\xf5\\x9e\\xca\\xe9\\xa2Q\\xc0\\xd5i\\x93y\\x9a\\xdaD@')""]",
blockgroup_ce,TEXT,Current block group number,"[""0"", ""1""]",
tract_ce,TEXT,Current Census tract code,"[""990000"", ""990003"", ""014100""]",
blockgroup_geom,BINARY,Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
county_fips_code,TEXT,Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all`,"[""007"", ""023"", ""001""]",
internal_point_lon,FLOAT,"Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[-70.8474733, -70.5623387, -70.5455195]",
functional_status,TEXT,Current functional status,"[""S""]",
mtfcc_feature_class_code,TEXT,MAF/TIGER feature class code (G5030),"[""G5030""]",
area_water_meters,NUMBER,Current water area,"[784727512, 737394647, 127974]",
area_land_meters,NUMBER,Current land area,"[0, 82255563, 4811063]",
geo_id,TEXT,"Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number.","[""250079900000"", ""250239900030"", ""250010141001""]",
lsad_name,TEXT,Current translated legal/statistical area description and the block group number,"[""Block Group 0"", ""Block Group 1""]",
