column_name,column_type,column_description,sample_value,ref_key
LBD,FLOAT,,[],
home_player_Y11,FLOAT,,[],
date,TEXT,,"[""2011-05-29 00:00:00"", ""2010-08-27 00:00:00""]",
home_player_Y2,FLOAT,,[],
PSA,FLOAT,,[],
home_player_1,FLOAT,,"[47249.0, 75579.0, 114822.0]",
away_player_X9,FLOAT,,[],
B365H,FLOAT,,[],
away_player_Y5,FLOAT,,[],
possession,TEXT,,"[""""]",
GBD,FLOAT,,[],
GBH,FLOAT,,[],
SJA,FLOAT,,[],
home_player_X10,FLOAT,,[],
VCD,FLOAT,,[],
home_player_4,FLOAT,,"[68962.0, 15608.0, 69601.0]",
goal,TEXT,,"[""""]",
WHH,FLOAT,,[],
league_id,NUMBER,,[15722],
home_player_Y3,FLOAT,,[],
away_player_4,FLOAT,,"[11061.0, 13350.0]",
IWA,FLOAT,,[],
away_player_Y10,FLOAT,,[],
season,TEXT,,"[""2010/2011""]",
home_team_goal,NUMBER,,"[1, 4, 5]",
away_player_X11,FLOAT,,[],
away_player_Y2,FLOAT,,[],
away_player_Y11,FLOAT,,[],
home_player_X11,FLOAT,,[],
home_player_Y1,FLOAT,,[],
PSH,FLOAT,,[],
home_player_Y4,FLOAT,,[],
away_player_Y8,FLOAT,,[],
IWD,FLOAT,,[],
SJH,FLOAT,,[],
home_player_10,FLOAT,,[27371.0],
away_player_6,FLOAT,,"[239253.0, 66753.0, 12307.0]",
home_player_2,FLOAT,,"[210978.0, 116871.0]",
home_player_Y6,FLOAT,,[],
home_player_X2,FLOAT,,[],
match_api_id,NUMBER,,"[838858, 838860, 838865]",
country_id,NUMBER,,[15722],
B365D,FLOAT,,[],
BWA,FLOAT,,[],
away_player_5,FLOAT,,"[182075.0, 77778.0, 69254.0]",
away_player_10,FLOAT,,"[69479.0, 69637.0, 68802.0]",
away_player_Y4,FLOAT,,[],
home_player_8,FLOAT,,"[69242.0, 9086.0]",
GBA,FLOAT,,[],
away_player_Y6,FLOAT,,[],
home_player_3,FLOAT,,"[68840.0, 13437.0]",
home_player_X1,FLOAT,,[],
home_player_7,FLOAT,,"[30275.0, 10933.0, 79241.0]",
SJD,FLOAT,,[],
away_player_X8,FLOAT,,[],
home_player_X3,FLOAT,,[],
home_player_X7,FLOAT,,[],
home_player_5,FLOAT,,"[148487.0, 69533.0]",
away_team_goal,NUMBER,,"[2, 0, 1]",
BWD,FLOAT,,[],
BWH,FLOAT,,[],
away_player_7,FLOAT,,"[118530.0, 68937.0, 150809.0]",
away_player_Y7,FLOAT,,[],
LBA,FLOAT,,[],
home_player_Y9,FLOAT,,[],
home_player_Y8,FLOAT,,[],
away_player_X7,FLOAT,,[],
corner,TEXT,,"[""""]",
home_player_Y7,FLOAT,,[],
away_player_8,FLOAT,,[105535.0],
away_player_X3,FLOAT,,[],
VCH,FLOAT,,[],
BSD,FLOAT,,[],
WHA,FLOAT,,[],
VCA,FLOAT,,[],
home_player_X6,FLOAT,,[],
home_team_api_id,NUMBER,,"[8030, 8020, 8025]",
away_player_3,FLOAT,,"[13474.0, 93261.0, 68732.0]",
foulcommit,TEXT,,"[""""]",
away_player_X2,FLOAT,,[],
id,NUMBER,,"[16387, 16388, 16390]",
shoton,TEXT,,"[""""]",
away_player_1,FLOAT,,"[115006.0, 40976.0, 115268.0]",
away_player_X6,FLOAT,,[],
away_team_api_id,NUMBER,,"[8021, 8024, 8322]",
BSH,FLOAT,,[],
B365A,FLOAT,,[],
home_player_Y10,FLOAT,,[],
home_player_9,FLOAT,,"[69043.0, 69518.0, 179310.0]",
cross,TEXT,,"[""""]",
away_player_Y1,FLOAT,,[],
card,TEXT,,"[""""]",
home_player_X8,FLOAT,,[],
away_player_X10,FLOAT,,[],
away_player_X1,FLOAT,,[],
home_player_Y5,FLOAT,,[],
stage,NUMBER,,"[30, 4]",
WHD,FLOAT,,[],
LBH,FLOAT,,[],
away_player_2,FLOAT,,[68782.0],
home_player_6,FLOAT,,"[69238.0, 34225.0, 40973.0]",
away_player_X4,FLOAT,,[],
away_player_11,FLOAT,,"[197560.0, 249550.0, 4999.0]",
home_player_X9,FLOAT,,[],
away_player_9,FLOAT,,"[13538.0, 69428.0, 13483.0]",
shotoff,TEXT,,"[""""]",
away_player_Y3,FLOAT,,[],
home_player_X4,FLOAT,,[],
home_player_11,FLOAT,,[91473.0],
home_player_X5,FLOAT,,[],
away_player_Y9,FLOAT,,[],
away_player_X5,FLOAT,,[],
BSA,FLOAT,,[],
IWH,FLOAT,,[],
PSD,FLOAT,,[],
