column_name,column_type,column_description,sample_value,ref_key
route_id,TEXT,Unique reference for the route on which the vehicle is traveling. Maps to route_id in the routes table,"[""15""]",
aimed_arrival_time,NUMBER,Vehicle's expected arrival time,"[1620745990000000, 1620739930000000, 1620752160000000]",
direction,TEXT,"Indicates the direction of travel for a trip. The following values are valid: - O: Outbound travel - I: Inbound travel  This field is not used in routing, but instead provides a way to separate trips by direction","[""IB""]",
trip_id,TEXT,Unique reference for the trip that the vehicle is traveling. Maps to trip_id in the trips table,"[""9757413"", ""9757433"", ""9757403""]",
stop_name,TEXT,Full text name of the stop being monitored. Maps to stop_name in the stops table,"[""3rd St & Stevenson St""]",
trip_date,DATE,The service date for the trip the vehicle is serving.,"[""2021-05-11""]",
time_recorded,NUMBER,The timestamp of the real-time update from the particular vehicle.,"[1620745923000000, 1620739679000000, 1620752158000000]",
route_long_name,TEXT,Contains the full name of a route. This name is generally more descriptive than the name from route_short_name and often includes the route's destination or stop. Maps to route_long_name in routes table,"[""BAYVIEW HUNTERS POINT EXPRESS""]",
vehicle_id,TEXT,The unique identifier of the vehicle to be monitored.,"[""8887"", ""8645""]",
vehicle_at_stop,BOOLEAN,Determines if the vehicle is at the monitored stop during the time_recorded. TRUE if vehicle is at the stop,[],
aimed_departure_time,NUMBER,Vehicle's expected departure time,"[1620745990000000, 1620739930000000, 1620752160000000]",
vehicle_location_lat,FLOAT,The latitude of the vehicle's location at the time when time_recorded indicates,"[37.7802238, 37.7784233, 37.7827721]",
stop_id,TEXT,Unique reference for the stop being monitored. Maps to stop_id in the stops table,"[""13136""]",
vehicle_location,BINARY,The geographic representation of the vehicle's location at the time indicated in the time_recorded column,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xab\\xcej\\x81=\\x99^\\xc0\\xcaG\\x9c_\\xde\\xe3B@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x004GV~\\x19\\x99^\\xc0\\xe1\\xf8\\xeb_\\xa3\\xe3B@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00=\\xbc\\xe7\\xc0r\\x99^\\xc0R\\xdcL\\xe01\\xe4B@')""]",
vehicle_location_lon,FLOAT,The longitude of the vehicle's location at the time when time_recorded indicates,"[-122.394379, -122.392181, -122.397629]",
