column_name,column_type,column_description,sample_value,ref_key
area_water_meters,FLOAT,,"[13133694.0, 2610802947.0, 10337426.0]",
cbsa_fips_code,TEXT,,"[""26540"", ""26090"", ""34340""]",
name,TEXT,,"[""Huntington, IN"", ""Holland, MI"", ""Mount Airy, NC""]",
cbsa_geom,BINARY,,[],
csa_geo_id,TEXT,,"[""258"", ""266"", ""268""]",
lsad_code,TEXT,,"[""M2"", ""M1""]",
msa_indicator,TEXT,,"[""2"", ""1""]",
area_land_meters,FLOAT,,"[991056705.0, 2137395807.0, 1382386028.0]",
internal_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xa2\\x9chW\\xa1^U\\xc0\\xfeN\\xa4E\\xc7iD@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x02\\x94\\xd0\\xa7\\x9f\\xa8U\\xc0\\xcc\\xee\\xc9\\xc3BLE@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00J\\x1a\\xed\\x02\\xef+T\\xc0\\x19\\x1e\\xfbY,5B@')""]",
lsad_name,TEXT,,"[""Huntington, IN Micro Area"", ""Holland, MI Micro Area"", ""Mount Airy, NC Micro Area""]",
internal_point_longitude,FLOAT,,"[-85.4785975, -86.6347446, -80.6864631]",
internal_point_latitude,FLOAT,,"[40.8263938, 42.5957875, 36.415416]",
mtfcc_feature_class_code,TEXT,,"[""G3110""]",
geo_id,TEXT,,"[""26540"", ""26090"", ""34340""]",
