column_name,column_type,column_description,sample_value,ref_key
SALES_PER_ORDER,FLOAT,,"[30.2375, 47.4422727272727, 27.614347826087]",
STORE_NAME,TEXT,,"[""NAME_138""]",
SUB_ENTITY_ID,TEXT,,"[""ID_87797""]",
VIEWS_PER_VISIT,FLOAT,,"[1.0, 1.05676855895197, 1.08695652173913]",
STORE_ID,TEXT,,"[""ID_87795""]",
RAW_RECORD,TEXT,,[],
_REVISION,NUMBER,,"[45, 48, 44]",
SOURCE,TEXT,,"[""Other sources"", ""Amazon organic traffic""]",
ENTITY_ID,TEXT,,"[""ID_87796""]",
VISITS,FLOAT,,"[12.0, 229.0, 207.0]",
UNITS,FLOAT,,"[4.0, 52.0, 34.0]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-08-12 12:21:21-07:00"", ""2022-06-12 13:21:35-07:00"", ""2022-06-03 13:17:58-07:00""]",
DATE,TIMESTAMP_LTZ,,"[""2022-08-12 00:00:00-07:00"", ""2022-06-12 00:00:00-07:00"", ""2022-06-03 00:00:00-07:00""]",
SALES,FLOAT,,"[120.95, 1043.73, 635.13]",
ORDERS,FLOAT,,"[4.0, 22.0, 23.0]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-08-12 21:36:45-07:00"", ""2022-06-12 21:33:03-07:00"", ""2022-06-04 06:04:25-07:00""]",
SALES_PER_VISIT,FLOAT,,"[10.0791666666667, 4.55777292576419, 3.06826086956522]",
VIEWS,FLOAT,,"[12.0, 242.0, 225.0]",
UNITS_PER_ORDER,FLOAT,,"[1.0, 2.36363636363636, 1.47826086956522]",
ID,NUMBER,,"[18202, 18187, 18185]",
