column_name,column_type,column_description,sample_value,ref_key
venue_address,TEXT,[Game data] Address of the venue where the game was played,"[""Roosevelt Avenue"", ""Casino Drive""]",
a_steals,NUMBER,[Away Team stats] Away steals,"[5, 3, 2]",
conference_game,BOOLEAN,[Game data] Indicator of whether the two teams were in the same conference at the time the game was played,[],
a_second_chance_pts,NUMBER,[Away Team stats] Away second-chance points scored,"[4, 14, 3]",
h_points_off_turnovers,NUMBER,[Home Team stats] Home points off turnovers,"[14.0, 17.0, 16.0]",
a_free_throws_pct,FLOAT,[Away Team stats] Away free throw percentage,"[66.7, 57.9, 70.6]",
venue_capacity,NUMBER,[Game data] Current capacity of the venue where the game was played,[10000.0],
scheduled_date,DATE,[Game data] Date the game was played,"[""2015-11-22"", ""2015-11-20"", ""2015-11-27""]",
a_alias,TEXT,[Away Team data] Away team school alias (unique),"[""TEM"", ""MINN"", ""WASH""]",
gametime,NUMBER,[Game data] Date and time the game was played,"[1448227800000000, 1448033400000000, 1448582400000000]",
possession_arrow,TEXT,"[Game stats] The unique identifier of the team that would receive the ball the next time a jump ball is called, see https://en.wikipedia.org/wiki/Jump_ball for more information","[""0d037a5d-827a-44dd-8b70-57603d671d5d"", ""fa416692-7e09-4f0a-9bcf-0cf7d5149a14"", ""6ed15092-2670-450a-99c2-61d861e87644""]",
h_steals,NUMBER,[Home Team stats] Home steals,"[4, 5, 8]",
h_turnovers,NUMBER,[Home Team stats] Home turnovers,"[9, 11, 10]",
a_three_points_att,NUMBER,[Away Team stats] Away three-pointers attempted,"[29, 23, 24]",
h_conf_alias,TEXT,[Home Team data] Home team current conference alias (not unique),"[""PAC12"", ""MVC"", ""BIG12""]",
h_two_points_att,NUMBER,[Home Team stats] Home two-pointers attempted,"[29, 36, 43]",
h_blocked_att,NUMBER,[Home Team stats] Number of the home team's shots blocked by the away team,"[0, 6, 7]",
a_team_tech_fouls,NUMBER,[Away Team stats] Away technical fouls committed by team,[0],
a_two_points_made,NUMBER,[Away Team stats] Away two-pointers made,"[16, 12, 14]",
a_blocks,NUMBER,[Away Team stats] Away blocks,"[0, 6, 7]",
a_free_throws_made,NUMBER,[Away Team stats] Away free throws made,"[6, 11, 12]",
h_logo_small,TEXT,[Home Team data] Home team logo 24x24,"[""https://www.ncaa.com/sites/default/files/images/logos/schools/u/utah.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/m/missouri-st.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas.24.png""]",
a_logo_small,TEXT,[Away Team data] Away team logo 24x24,"[""https://www.ncaa.com/sites/default/files/images/logos/schools/t/temple.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/m/minnesota.24.png"", ""https://www.ncaa.com/sites/default/files/images/logos/schools/w/washington.24.png""]",
a_division_id,TEXT,[Away Team data] Away team current division ID (not unique),"[""c5a8d640-5093-4044-851d-2c562e929994""]",
venue_state,TEXT,[Game data] State where the game was played,[],
