column_name,column_type,column_description,sample_value,ref_key
TRADE_LEAD_ID,TEXT,Unique identifier from the International Trade Administration (ITA) to specify a lead.,"[""UK-aHR0cHM6Ly93d3cuY29udHJhY3RzZmluZGVyLnNlcnZpY2UuZ292LnVrL05vdGljZS9mZjlkNDkzNi0xMzNkLTQyYzktYmYwYi1jYTdkNDkyM2ZmMDA"", ""UK-aHR0cHM6Ly93d3cuY29udHJhY3RzZmluZGVyLnNlcnZpY2UuZ292LnVrL05vdGljZS8xOGVjMjk0MC0wY2Q3LTRhM2UtOGVjMy05OTQyYjNhOTg2MmQ"", ""UK-aHR0cHM6Ly93d3cuY29udHJhY3RzZmluZGVyLnNlcnZpY2UuZ292LnVrL05vdGljZS8yYWE5M2QxNS1iMWQxLTQ5OWYtYjZhMS00NzNlNmEyNjQ4ZmU""]",
CONTRACT_END_DATE,DATE,"Date on which the contract ends, when all services or goods must be delivered and the work completed.","[""2026-12-31"", ""2030-04-30"", ""2027-10-22""]",
TRADE_LEAD_DESCRIPTION,TEXT,Long-form text that specifies the details of the lead.,"[""Biowaste training - Aerobic and anaerobic treatment"", ""Equans, on behalf of North East Lincolnshire Council (NELC) are seeking the services of a suitably qualified contractor to carry out minor demolition works and reinstatement of an element of the historic facade. Restoration works to include masonry brickwork, ashlar stonework and reinstatement and repair of historic ironwork. Other works include hard and soft landscaping, fencing, minor internal alterations and associated mechanical and electrical works including the installation of a new wireless fire alarm system.""]",
CONTRACT_START_DATE,DATE,Date on which the contract begins and the associated work on the contract should begin.,"[""2025-01-01"", ""2025-05-01"", ""2024-10-23""]",
TENDER_END_DATE,DATE,Date on which the bidding process ends.,"[""2024-10-08"", ""2024-09-16"", ""2024-09-23""]",
TENDER_START_DATE,DATE,Date on which bids start to be accepted.,[],
TRADE_LEAD_URL,TEXT,URL to the details of the lead.,"[""https://www.contractsfinder.service.gov.uk/Notice/ff9d4936-133d-42c9-bf0b-ca7d4923ff00"", ""https://www.contractsfinder.service.gov.uk/Notice/18ec2940-0cd7-4a3e-8ec3-9942b3a9862d"", ""https://www.contractsfinder.service.gov.uk/Notice/2aa93d15-b1d1-499f-b6a1-473e6a2648fe""]",
PUBLISHED_DATE,DATE,Date the lead was made public or announced to potential bidders by the International Trade Administration (ITA).,"[""2024-08-27"", ""2024-08-22"", ""2024-08-15""]",
TRADE_LEAD_TITLE,TEXT,Title that identifies a lead.,"[""263_25 Total Cleaning Service Solutions"", ""Broadland Development Services Homes for the Future Framework"", ""Biowaste training - Aerobic and anaerobic treatment""]",
GEO_ID_COUNTRY,TEXT,Unique geographic identifier for the country associated with the contract.,"[""country/GBR""]",
