column_name,column_type,column_description,sample_value,ref_key
area_of_impact_other_vehicle_name,TEXT,,"[""Not a Motor Vehicle""]",
area_of_impact_this_vehicle_name,TEXT,,"[""Non-Collision""]",
vehicle_number_this_vehicle,NUMBER,,[1],
area_of_impact_other_vehicle,TEXT,,"[""77""]",
event_number,NUMBER,,"[3, 2, 4]",
state_name,TEXT,,"[""Alabama""]",
vehicle_number_other_vehicle_name,TEXT,,"[""Not a Motor Vehicle""]",
sequence_of_events,NUMBER,,[1],
sequence_of_events_name,TEXT,,"[""Rollover/Overturn""]",
consecutive_number,NUMBER,,"[10002, 10005, 10008]",
state_number,NUMBER,,[1],
vehicle_number_other_vehicle,NUMBER,,[9999],
area_of_impact_this_vehicle,NUMBER,,[0],
