column_name,column_type,column_description,sample_value,ref_key
totprgmrevnue,NUMBER,Program service revenue,[0],
lessdirgaming,NUMBER,Gaming expenses,[0],
grsincother,NUMBER,Gross income from other sources,[0],
txexmptbndsproceeds,NUMBER,Tax-exempt bond proceeds,[0],
txrevnuelevied170,NUMBER,Tax revenues levied (170),[0],
subtotsuppinc509,NUMBER,Subtotal total support (509),[0],
grsrntsreal,NUMBER,Gross rents -- Real estate,[0],
rntlincreal,NUMBER,Net rent -- Real estate,[0],
netrntlinc,NUMBER,Net rental income,[0],
tax_pd,TEXT,Tax period,"[""201109"", ""201110"", ""201111""]",
rntlexpnsprsnl,NUMBER,Rental expense -- Personal property,[0],
invstmntinc,NUMBER,Investment income,"[89589, 182892, 311077]",
grsrcptsadmissn509,NUMBER,Receipts from admissions merchandise etc (509),[0],
othrsalwages,NUMBER,Other salaries and wages,[0],
grsrntsprsnl,NUMBER,Gross rents -- Personal property,[0],
grsincmembers,NUMBER,Gross income from members,[0],
srvcsval509,NUMBER,Services or facilities furnished by gov (509),[0],
grsrcptspublicuse,NUMBER,Gross receipts amount,[0],
rntlexpnsreal,NUMBER,Rental expense -- Real estate,[0],
txexmptbndsend,NUMBER,Tax-exempt bond liabilities -- eoy,[0],
grsincgaming,NUMBER,Gross income from gaming,[0],
totfuncexpns,NUMBER,Total functional expenses,"[90456, 50882, 0]",
unrelbusinccd,TEXT,Unrelated business income question,"[""N""]",
lessdirfndrsng,NUMBER,Fundraising expenses,[0],
srvcsval170,NUMBER,Services or facilities furnished by gov (170),[0],
totrevenue,NUMBER,Total revenue,"[138871, 288001, 323399]",
compnsatncurrofcr,NUMBER,"Compensation of current officers, directors, etc","[0, 12393]",
totassetsend,NUMBER,Total assets -- eoy,"[3862356, 6033386, 6326446]",
netincsales,NUMBER,Income from sales of inventory,[0],
totsupp509,NUMBER,Total support (509),[0],
grsalesecur,NUMBER,Gross sales -- Securities,"[44000, 2711320, 911352]",
cstbasisothr,NUMBER,Sales expense -- Other assets,[0],
initiationfees,NUMBER,Initiation fees amount,[0],
totcntrbgfts,NUMBER,Total contributions,"[0, 16919]",
totliabend,NUMBER,Total liabilities -- eoy,[0],
secrdmrtgsend,NUMBER,Secured mortgages and notes payable -- eoy,[0],
grsalesothr,NUMBER,Gross sales -- Other assets,"[0, 2642]",
lesscstofgoods,NUMBER,Cost of goods sold (inventory),[0],
totgftgrntrcvd509,NUMBER,Gifts grants membership fees received (509),[0],
rntlincprsnl,NUMBER,Net rent -- Personal property,[0],
gftgrntsrcvd170,NUMBER,Gifts grants membership fees received (170),[0],
grsalesinvent,NUMBER,Gross sales of inventory,[0],
cstbasisecur,NUMBER,Sales expense -- Securities,"[47048, 2625772, 899030]",
totnetassetend,NUMBER,Total Net Assets -- eoy,"[3862356, 6033386, 6326446]",
miscrevtot11e,NUMBER,Other revenue,"[52330, 0]",
netincgaming,NUMBER,Gaming income,[0],
retainedearnend,NUMBER,Paid-in or capital surplus -- eoy,"[0, 6033386, 6326446]",
grsrcptsrelated170,NUMBER,Gross receipts from related activities (170),[0],
txrevnuelevied509,NUMBER,Tax revenues levied (509),[0],
unsecurednotesend,NUMBER,Unsecured mortgages and notes payable -- eoy,[0],
netincfndrsng,NUMBER,Fundraising income,[0],
grsinc170,NUMBER,Gross income from interest etc (170),[0],
nonpfrea,TEXT,Reason for non-PF status,"[""00""]",
profndraising,NUMBER,Professional fundraising fees,[0],
royaltsinc,NUMBER,Royalties,[0],
gnlsecur,NUMBER,Net gain from sales -- Securities,"[-3048, 85548, 12322]",
grsincfndrsng,NUMBER,Gross fundraising,[0],
ein,TEXT,Employer Identification Number,"[""237216299"", ""636148130"", ""430797972""]",
netgnls,NUMBER,Sales of assets,"[-3048, 88190, 12322]",
payrolltx,NUMBER,Payroll taxes,[0],
subseccd,TEXT,Subsection code,"[""13""]",
gnlsothr,NUMBER,Net gain from sales -- Other assets,"[0, 2642]",
