column_name,column_type,column_description,sample_value,ref_key
last_edit_date,NUMBER,,[1361967204423000],
title,TEXT,,[],
id,NUMBER,,[15111874],
last_editor_user_id,NUMBER,,[1583],
favorite_count,TEXT,,[],
comment_count,NUMBER,,[0],
tags,TEXT,,[],
last_activity_date,NUMBER,,[1361967204423000],
owner_display_name,TEXT,,[],
post_type_id,NUMBER,,[8],
parent_id,TEXT,,[],
community_owned_date,TEXT,,[],
creation_date,NUMBER,,[1361967204423000],
answer_count,TEXT,,[],
view_count,TEXT,,[],
accepted_answer_id,TEXT,,[],
last_editor_display_name,TEXT,,[],
body,TEXT,,[],
owner_user_id,NUMBER,,[-1],
score,NUMBER,,[1],
