column_name,column_type,column_description,sample_value,ref_key
species_common_name,TEXT,,"[""Japanese Flowering Cherry"", ""Serviceberry"", ""European Birdcherry""]",
form,TEXT,,"[""Rounded""]",
tree_size,TEXT,,"[""Small (Mature Height < 25 ft)""]",
growth_rate,TEXT,,"[""Slow""]",
location_tolerances,TEXT,,"[""Small Tree Pit (<3 ft)""]",
fall_color,TEXT,,"[""Red/Orange"", ""Red/ Yellow"", ""Yellow/Bronze""]",
environmental_tolerances,TEXT,,"[""none"", ""Wet Site and Shade Tolerant"", ""Shade Tolerant""]",
species_scientific_name,TEXT,,"[""Prunus serrulata 'Kwanzan'"", ""Amelanchier sp."", ""Prunus padus""]",
comments,TEXT,,"[""""]",
notes_suggested_cultivars,TEXT,,"[""Double–flowering"", ""'Autumn Sunset,' 'Cumulus,' and 'White Pillar'"", ""One of the First Trees to Leaf Out in the Spring""]",
