column_name,column_type,column_description,sample_value,ref_key
grsrents,NUMBER,Gross rents,[0],
operatingcd,TEXT,Operating foundation code,"[""N""]",
totexpnspbks,NUMBER,Total expenses,"[230, 71356, 1800535]",
adjnetinc,NUMBER,Adjusted net income,[0],
applyprovind,TEXT,Not applying section 4942(a)(2) provisions?,"[""N""]",
adjnetinccola,NUMBER,Adjusted net income column a,[0],
printingpubl,NUMBER,Printing and publications,"[0, 283]",
invstcorpbnd,NUMBER,Investments in corporate bonds– e-o-y book value,[0],
grntapprvfut,NUMBER,Grants approved for future payment,"[0, 1086000]",
adjnetinccolb,NUMBER,Adjusted net income column b,[0],
progsrvcccold,NUMBER,Program service revenue line 1c (excluded),[0],
totsuprtcola,NUMBER,Total support column a,[0],
progsrvcdcole,NUMBER,Program service revenue line 1d (exempt),[0],
endwmntscola,NUMBER,Endowments column a,[0],
invstcorpstk,NUMBER,Investments in corporate stock – e-o-y book value,"[86947, 0, 11005513]",
dividndsamt,NUMBER,,"[3668, 10822, 747428]",
totassetsend,NUMBER,Total assets – e-o-y book value,"[86947, 155330, 33767649]",
mrtgnotespay,NUMBER,Mortgage loans payable – e-o-y book value,[0],
progsrvcbcold,NUMBER,Program service revenue line 1b (excluded),[0],
prioractvcd,TEXT,Engage in acts in prior year?,"[""N""]",
trcptadjnetinc,NUMBER,Total receipts adjusted net income,[0],
endwmntscolb,NUMBER,Endowments column b,[0],
esttaxcr,NUMBER,Estimated tax credit,"[0, 634, 71261]",
adjnetinctot,NUMBER,Adjusted net income total,[0],
qlfydistriba,NUMBER,Qualifying distributions column a,[0],
mrtgloans,NUMBER,Investments mortgage loans – e-o-y book value,"[0, 35781]",
overpay,NUMBER,Overpayment,"[0, 543, 11525]",
nchrtygrntcd,TEXT,Non-charity grant?,"[""N""]",
totexcapgn,NUMBER,Net gain – sales of assets,"[0, 695, 1155047]",
claimstatcd,TEXT,Claiming status?,"[""N""]",
netinvstinc,NUMBER,Net investment income,"[0, 9086, 2986785]",
totexpnsadjnet,NUMBER,Total expenses adjusted net income,[0],
progsrvcacold,NUMBER,Program service revenue line 1a (excluded),[0],
undistribincyr,NUMBER,Undistributed income,"[0, 13817]",
topradmnexpnsd,NUMBER,Total operating and administrative expenses column d,"[0, 1375, 99249]",
endwmntstot,NUMBER,Endowments total,[0],
trnsothasstscd,TEXT,Transfer other assets to noncharitable exempt organization?,"[""N""]",
progsrvcacole,NUMBER,Program service revenue line 1a (exempt),[0],
totexcapgnls,NUMBER,Capital gain net income,"[-3939, 695, 1155047]",
pubsuprttot,NUMBER,Public support total,[0],
reimbrsmntscd,TEXT,Reimbursements arrangements?,"[""N""]",
topradmnexpnsb,NUMBER,Total operating and administrative expenses column b,"[50, 1375, 390092]",
endwmntscolc,NUMBER,Endowments column c,[0],
progsrvcbcole,NUMBER,Program service revenue line 1b (exempt),[0],
furnishcpycd,TEXT,Furnished copy to Attorney General?,"[""N"", ""Y""]",
dvdndsinte,NUMBER,Dividends and interest from securities (exempt),"[3668, 9828, 0]",
grsinvstincd,NUMBER,Gross investment income column d,[0],
sec4940notxcd,TEXT,Section 4940 – no tax,"[""N""]",
txwithldsrc,NUMBER,Tax withheld at source,[0],
contractncd,TEXT,Contraction?,"[""N""]",
loansguarcd,TEXT,Loans or other guarantees?,"[""N""]",
intonsvngse,NUMBER,Interest on savings and temporary cash investments (exempt),[0],
grntindivcd,TEXT,Grant individual?,"[""N""]",
depreciationamt,NUMBER,Depreciation and depletion,"[0, 1593]",
fairmrktvaleoy,NUMBER,Total assets – e-o-y fair market value,"[99818, 164514, 33767649]",
valassetscolc,NUMBER,Value assets column c,[0],
rentlsfacltscd,TEXT,Rental of facilities or other assets?,"[""N""]",
qlfyassetd,NUMBER,Qualifying assets column d,[0],
sect511tx,NUMBER,Section 511 tax,[0],
invstexcisetx,NUMBER,Excise tax on net investment income,"[0, 91, 59736]",
invstgovtoblig,NUMBER,Investments in U.S. & state government obligations – e-o-y book value,[0],
progsrvcccole,NUMBER,Program service revenue line 1c (exempt),[0],
propexchcd,TEXT,Property exchange?,"[""N""]",
totaxpyr,NUMBER,Total excise tax,"[0, 91, 59736]",
totsuprtcolb,NUMBER,Total support column b,[0],
orgcmplypubcd,TEXT,Comply with public inspection?,"[""Y""]",
eostatus,TEXT,EO Status Code,"[""1""]",
actnotpr,TEXT,Activities not previously reported?,"[""N""]",
excesshldcd,TEXT,Excess business holdings?,"[""N""]",
totsuprtcolc,NUMBER,Total support column c,[0],
chgnprvrptcd,TEXT,Changes not previously reported?,"[""N""]",
progsrvcecole,NUMBER,Program service revenue line 1e (exempt),[0],
totinvstsec,NUMBER,Total investments in securities – e-o-y book value,"[86947, 0, 11005513]",
pubsuprtcolc,NUMBER,Public support column c,[0],
adjnetinccold,NUMBER,Adjusted net income column d,[0],
progsrvcgcole,NUMBER,Program service revenue--fees and contracts from government line 1g (exempt),[0],
membershpduesd,NUMBER,Membership dues and assessments (excluded),[0],
prevjexmptcd,TEXT,Prior year jeopardizing investments?,"[""N""]",
salesasstscd,TEXT,Sale of assets to noncharitable exempt organization?,"[""N""]",
totexcapls,NUMBER,Net loss – sales of assets,"[-3939, 0]",
totsuprttot,NUMBER,Total support total,[0],
cmpmininvstret,NUMBER,Minimum investment return,"[0, 9368, 1604935]",
fairmrktvalamt,NUMBER,Total assets – e-o-y fair market valu,"[99818, 164514, 33767649]",
occupancyamt,NUMBER,Occupancy,"[0, 23474]",
dirindirintcd,TEXT,Direct indirect interest?,"[""N""]",
undistrinccd,TEXT,Undistributed income?,"[""N""]",
perfservicescd,TEXT,Performance of services or membership or fundraising solicitations?,"[""N""]",
valassetscola,NUMBER,Value assets column a,[0],
progsrvcfcold,NUMBER,Program service revenue line 1f (excluded),[0],
sec4940redtxcd,TEXT,Section 4940 – 1 % tax,"[""N"", ""Y""]",
progsrvcdcold,NUMBER,Program service revenue line 1d (excluded),[0],
nreligiouscd,TEXT,Non-religious?,"[""N""]",
intonsvngsd,NUMBER,Interest on savings and temporary cash investments (excluded),"[0, 17, 3]",
totexpnsexempt,NUMBER,Total expenses – exempt purpose,"[180, 67433, 1326249]",
pyprsnlbnftind,TEXT,Pay premiums on personal benefit contract?,"[""N""]",
taxdue,NUMBER,Tax due,"[0, 1]",
travlconfmtngs,NUMBER,Travel conferences and meetings,"[0, 810]",
totexpnsnetinc,NUMBER,Total expenses net investment income,"[50, 1375, 390092]",
