column_name,column_type,column_description,sample_value,ref_key
OutstandingBalance,FLOAT,,[0.0],
LastEditedBy,NUMBER,,[10],
FinalizationDate,TEXT,,"[""2013-01-02""]",
TransactionAmount,FLOAT,,"[465.75, 809.6, 747.5]",
PaymentMethodID,FLOAT,,[],
TransactionTypeID,NUMBER,,[1],
CustomerID,NUMBER,,"[803, 905, 870]",
TaxAmount,FLOAT,,"[60.75, 105.6, 97.5]",
IsFinalized,NUMBER,,[1],
AmountExcludingTax,FLOAT,,"[405.0, 704.0, 650.0]",
TransactionDate,TEXT,,"[""2013-01-01""]",
InvoiceID,FLOAT,,"[2.0, 5.0, 14.0]",
LastEditedWhen,TEXT,,"[""2013-01-02 11:30:00.0000000""]",
CustomerTransactionID,NUMBER,,"[5, 15, 46]",
