column_name,column_type,column_description,sample_value,ref_key
LICENSE_URL,ARRAY,Array of URLs that provide the licensing for the data sources in this table.,"[""[\n  \""https://permid.org/terms\"",\n  \""https://creativecommons.org/licenses/by/4.0/\"",\n  \""https://www.sec.gov/privacy#security\"",\n  \""https://www.gleif.org/en/meta/terms\""\n]"", ""[\n  \""https://www.federalreserve.gov/disclaimer.htm\""\n]"", ""[\n  \""https://www.fhfa.gov/AboutUs/Policies/Pages/Website-Social-Media-Policies.aspx\""\n]""]",
DATA_SOURCE,ARRAY,Source of the data.,"[""[\n  \""PermID\"",\n  \""US Securities & Exchange Commission (SEC)\"",\n  \""Global Legal Entity Identifier Foundation (GLEIF)\""\n]"", ""[\n  \""Consumer Spending Aggregator\""\n]"", ""[\n  \""Federal Reserve\""\n]""]",
TABLE_NAME_PROPER,TEXT,Human-readable table name.,"[""Company Relationships Point in Time History"", ""Consumer Spending Essentials - Merchant Platform Timeseries"", ""Federal Reserve Attributes""]",
CREATED_DATE,DATE,Date for the table's addition to the Snowflake Marketplace.,"[""2024-03-21"", ""2024-07-02"", ""2024-01-08""]",
LISTING_NAME,ARRAY,Human-readable name of listing(s) associated with table.,"[""[\n  \""Financials & Economics: Enterprise \""\n]"", ""[\n  \""Consumer Spending Essentials\""\n]"", ""[\n  \""Global Government\"",\n  \""Financials & Economics: Enterprise \""\n]""]",
LAST_UPDATED_TIMESTAMP,TIMESTAMP_TZ,Timestamp for the table's last update or modification.,"[""2024-08-24 10:08:57.631000+00:00"", ""2024-08-28 01:39:02.112000+00:00"", ""2024-08-16 13:16:14.329000+00:00""]",
DESCRIPTION,TEXT,"Details on the source of the data, the table, and what is included in the table.","[""Tracks history of the company_relationships table with start and end timestamps to indicate row validity periods. \n\nCurrent rows have a NULL end timestamp. Updated and deleted rows are time-stamped, including deletion time, in Eastern Time with UTC offset."", ""The Consumer Spending Foundation includes projected consumer spending activity nationally in the United States. The card panel is made up of data from nearly 100M credit and debit cards from a number of banks and financial institutions. The data is aggregated and normalized to create a representative panel of activity in the US consumer economy.\n\nProvides historical values for spend across merchants through different platforms, e.g. McDonald's sales through DoorDash, with breakdowns by demographics (age and income level), purchase channels (online vs. offline) and consumer or merchant location. Geographic estimates range from national estimates for the entire US and go as granular as Core Based Statistical Areas (\""CBSAs\"").\n\nEach row represents a distinct timeseries, date, and value."", ""Borrowing patterns, credit card debt, commercial paper, finance companies, industrial production, capacity utilization, assets, liabilities, and net worth in the US, provided by the Fed.\n\nThe Federal Reserve, often referred to as the Fed, is the central banking system of the US. The data details (1) Consumer Credit - borrowing patterns, credit card debt, and other forms of consumer loans, (2) Commercial Paper - a short-term debt instrument used by corporations for financing, (3) health and activity of Finance Companies, (4) Industrial Production and Capacity Utilization of the manufacturing sector, and (5) US Financial Accounts - assets, liabilities, and net worth.\n\nProvides a wide format breakdown of variables included in the federal_reserve_timeseries table.""]",
TABLE_TYPE,TEXT,Cybersyn table type as part of the unified schema.,"[""point-in-time history"", ""timeseries"", ""attributes""]",
SELECT_RELATED_TABLES,ARRAY,Array of tables that you can join based on the entity and variable relationships; not an exhaustive list.,"[""[\n  \""company_relationships\""\n]"", ""[\n  \""geography_index\"",\n  \""geography_relationships\"",\n  \""calendar_index\"",\n  \""merchant_company_relationships\""\n]"", ""[\n  \""federal_reserve_timeseries\""\n]""]",
DOCUMENTATION_URL,TEXT,URL of the documentation associated with the table.,"[""https://docs.cybersyn.com/public-domain-sources/us-federal-reserve"", ""https://docs.cybersyn.com/public-domain-sources/fhfa""]",
SHORT_DESCRIPTION,TEXT,"Summarized details on the source of the data, the table, and what is included in the table.","[""Borrowing patterns, credit card debt, commercial paper, finance companies, industrial production, capacity utilization, assets, liabilities, and net worth in the US, provided by the Fed."", ""House price indexes measuring single-family home price changes in the US since 1975, across various geographic levels and property classifications, provided from the FHFA based on Fannie Mae and Freddie Mac mortgage data.""]",
DATA_SOURCE_URL,ARRAY,Array of URLs that provide the overview of each of the data sources in this table.,"[""[\n  \""https://permid.org/\"",\n  \""https://www.sec.gov/edgar/search-and-access\"",\n  \""https://www.gleif.org/\""\n]"", ""[\n  \""https://www.federalreserve.gov/data.htm\""\n]"", ""[\n  \""https://www.fhfa.gov/DataTools\""\n]""]",
ENTITIES,ARRAY,Array of entities that are included in the table.,"[""[\n  \""company_id\"",\n  \""related_company_id\""\n]"", ""[\n  \""geo_id\""\n]""]",
LISTING_URL,ARRAY,URLs of listing(s) associated with table.,"[""[\n  \""https://app.snowflake.com/marketplace/listing/GZTSZ290BUX66\""\n]"", ""[\n  \""https://app.snowflake.com/marketplace/listing/GZTSZ290BUX3R\""\n]"", ""[\n  \""https://app.snowflake.com/marketplace/listing/GZTSZAS2KGK\"",\n  \""https://app.snowflake.com/marketplace/listing/GZTSZ290BUX66\""\n]""]",
TABLE_NAME,TEXT,Machine-readable table name.,"[""company_relationships_history"", ""consumer_spending_essentials_merchant_platform_timeseries"", ""federal_reserve_attributes""]",
