column_name,column_type,column_description,sample_value,ref_key
STREET_DIRECTIONAL_SUFFIX,TEXT,"a directional modifier following the street name, such as S or NE",[],
STREET_DIRECTIONAL_PREFIX,TEXT,"a directional modifier preceding the street name, such as N or SW","[""W"", ""N"", ""SE""]",
ID_ZIP,TEXT,A unique identifier for a zip code joinable to the geography_index/relationships tables,"[""zip/76435"", ""zip/37042"", ""zip/46360""]",
ID_COUNTRY,TEXT,A unique identifier for a country joinable to the geography_index/relationships tables,"[""country/USA""]",
LONGITUDE,FLOAT,longitude coordinate in degrees,"[-98.8322983, -87.4201814, -86.8169273]",
ADDRESS_ID,TEXT,A unique identifier of an address based on street address that is joinable to the point_of_interest_addresses_relationships table.,"[""addressId/dc300a05308812315403177f94140723"", ""addressId/ae15ac2c134974f5599c7f16d391e061"", ""addressId/a190cfd4c9532b7c48dbbff6b1b37cbb""]",
ZIP,TEXT,5-digit code identifying the location of an address,"[""76435"", ""37042"", ""46360""]",
ID_STATE,TEXT,"A unique identifier for a state, Washington, D.C. or Puerto Rico joinable to the geography_index/relationships tables","[""geoId/48"", ""geoId/47"", ""geoId/18""]",
UNIT,TEXT,number or label for a unit used to distinguish multiple tenants at a single address,[],
STREET_TYPE,TEXT,"string type of the street, such as ROAD","[""Street"", ""Cove"", ""Road""]",
LATITUDE,FLOAT,latitude coordinate in degrees,"[32.2707423, 36.5539342, 41.7393496]",
NUMBER,TEXT,number of the address identifying location on a street,"[""307"", ""580"", ""9076""]",
STREET,TEXT,name of the street,"[""Anthracite"", ""Cabot"", ""Meer""]",
CITY,TEXT,name of the city,"[""Carbon"", ""Clarksville"", ""Michigan City""]",
ID_CITY,TEXT,A unique identifier for a city joinable to the geography_index/relationships tables,"[""geoId/4812736"", ""geoId/4715160"", ""geoId/1848798""]",
STATE,TEXT,name of the state,"[""TX"", ""TN"", ""IN""]",
