column_name,column_type,column_description,sample_value,ref_key
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Bowling Green city"", ""West Melbourne city"", ""Fellsmere city""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
place_name,TEXT,Full text name of the place,"[""Bowling Green"", ""West Melbourne"", ""Fellsmere""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[27.6377515, 28.0912127, 27.7211905]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-81.8247726, -80.6775391, -80.6099437]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xc3\\xe8\\x03\\x13\\xc9tT\\xc0\\x96y\\xab\\xaeC\\xa3;@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xb9\\x10\\xf5\\xcc\\\\+T\\xc0\\xd7z+\\xb7Y\\x17<@')"", ""bytearray(b\""\\x01\\x01\\x00\\x00\\x00\\xae\\xf9LQ\\t\\'T\\xc0\\x97\\xaf\\xcb\\xf0\\x9f\\xb8;@\"")""]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""12""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""07775"", ""76500"", ""22100""]",
place_gnis_code,TEXT,Current place GNIS code,"[""02403904"", ""02405709"", ""02403605""]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[3777, 532051, 591006]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""1207775"", ""1276500"", ""1222100""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[3260546, 27449954, 148999325]",
