column_name,column_type,column_description,sample_value,ref_key
In_Exon_Targetted_Pilot,BOOLEAN,The Sample is in the exon targetted pilot experiment,[],
Has_Sequence_in_Phase1,BOOLEAN,Has sequence low coverage sequence in the 20101123.sequence.index file or exome sequence in the 20110522 sequence index file,[],
LC_Indel_Ratio,FLOAT,Both Indel ratios are the ratio of insertions to deletions found in that sample using a quick test (based on samtools). If the ratio is higher than 5 the sample is withdrawn.,"[0.84, 1.01, 0.83]",
LC_Passed_QC,BOOLEAN,"These are binary flags showing if the sample passed QC, All samples which have passed QC have bam files. Only samples which have both exome and low coverage data are found under ftp/data and listed in the standard alignment index. The small number of other samples are found in ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/phase3_EX_or_LC_only_alignment/",[true],
VerifyBam_E_Omni_Free,FLOAT,Value from UMich's VerifyBamID BAM QC program http://genome.sph.umich.edu/wiki/VerifyBamID.  The Free measures use a statistical model based on the haplotypes discovered by the chip. The Chip measure considers the genotypes available for that individual from that chip. We use greater than 3% as a cut off for our our low coverage samples and greater than 3.5% for our exome samples.,"[0.00522, 0.00449, 0.00212]",
Gender,TEXT,Gender,"[""male"", ""female""]",
DNA_Source_from_Coriell,TEXT,This was the annotated DNA Source from Coriell     ,"[""LCL"", ""Blood""]",
Non_Paternity,TEXT,sample ids for annotated non paternal relationships,"[""""]",
VerifyBam_E_Affy_Free,FLOAT,Value from UMich's VerifyBamID BAM QC program http://genome.sph.umich.edu/wiki/VerifyBamID.  The Free measures use a statistical model based on the haplotypes discovered by the chip. The Chip measure considers the genotypes available for that individual from that chip. We use greater than 3% as a cut off for our our low coverage samples and greater than 3.5% for our exome samples.,"[0.00498, 0.00537, 0.00255]",
In_Low_Coverage_Pilot,BOOLEAN,The sample is in the low coverage pilot experiment,[],
Has_Affy_6_0_Genotypes,BOOLEAN,Affy 6.0 Genotypes in  ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/working/20121128_corriel_p3_sample_genotypes/,[true],
Total_LC_Sequence,FLOAT,The total amount of low coverage sequence available,"[22020106300.0, 37758142798.0, 20981601900.0]",
LC_Non_Duplicated_Aligned_Coverage,FLOAT,"The non duplicated aligned coverage for the low coverage sequence data.  This was calculated using the ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/alignment_indices/20130502.low_coverage.alignment.index.bas.gz file, the (mapped bases - duplicated bases) was summed for each sample and divided by 2.75GB and rounded to 2dp","[7.49, 11.33, 7.35]",
Main_project_LC_Centers,TEXT,low coverage sequencing centers for final sequencing round,"[""BGI"", ""BI"", ""SC""]",
In_Final_Phase_Variant_Calling,BOOLEAN,Any sample which has both LC and E QC passed bams is in the final analysis set,[true],
Sample,TEXT,Sample ID,"[""HG03603"", ""HG03115"", ""HG03268""]",
