column_name,column_type,column_description,sample_value,ref_key
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-122.8388419, -123.0525635, -123.0059685]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""41""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""4120100"", ""4129950"", ""4137250""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xed\\xc0\\xef\\x95\\xaf\\xb5^\\xc0e\\xf6\\x1e\\xd3\\x7f\\x9cF@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xa7]L3]\\xc3^\\xc0\\xcf\\xca\\x07N\\xc77E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x99\\x13\\xb4\\xc9a\\xc0^\\xc0\\xddgK\\x0c\\xb8[F@')""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
place_gnis_code,TEXT,Current place GNIS code,"[""02410344"", ""02410610"", ""02410137""]",
place_name,TEXT,Full text name of the place,"[""Donald"", ""Gold Hill"", ""Jefferson""]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[0, 75983]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[729209, 1979659, 2213093]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""20100"", ""29950"", ""37250""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[45.2226509, 42.4357698, 44.7165542]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Donald city"", ""Gold Hill city"", ""Jefferson city""]",
