column_name,column_type,column_description,sample_value,ref_key
14_DAY_TOTAL_SALES,FLOAT,,"[797.45, 0.0, 493.08]",
SPEND,FLOAT,,"[109.4, 2.31, 102.65]",
IMPRESSIONS,FLOAT,,"[17822.0, 1205.0, 18941.0]",
CAMPAIGN_NAME,TEXT,,"[""NAME_203"", ""NAME_206"", ""NAME_201""]",
CURRENCY,TEXT,,"[""GBP""]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2021-11-11 12:41:50-08:00""]",
COST_PER_CLICK_CPC,FLOAT,,"[0.770422535, 0.256666667, 0.688926174]",
14_DAY_PERCENTAGE_NEW_TO_BRAND_ORDER_RATE,FLOAT,,"[0.056338028, 0.0, 0.026845638]",
14_DAY_TOTAL_ORDERS,FLOAT,,"[8.0, 0.0, 4.0]",
TOTAL_ADVERTISING_COST_OF_SALES_ACOS,FLOAT,,[0.0],
DATE,TIMESTAMP_LTZ,,"[""2021-01-12 00:00:00-08:00"", ""2021-01-14 00:00:00-08:00"", ""2021-01-16 00:00:00-08:00""]",
ROW_INDEX,NUMBER,,"[8, 4, 6]",
14_DAY_PERCENTAGE_NEW_TO_BRAND_ORDERS,FLOAT,,"[1.0, 0.0, 0.888888889]",
_REVISION,NUMBER,,[4],
14_DAY_NEW_TO_BRAND_ORDERS,FLOAT,,"[8.0, 0.0, 4.0]",
CLICKS,FLOAT,,"[142.0, 9.0, 149.0]",
14_DAY_PERCENTAGE_NEW_TO_BRAND_SALES,FLOAT,,"[1.0, 0.0, 0.891411948]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2021-11-10 14:28:16-08:00""]",
14_DAY_PERCENTAGE_NEW_TO_BRAND_UNITS,FLOAT,,"[1.0, 0.0, 0.888888889]",
ID,NUMBER,,"[124705, 124608, 124709]",
CLICK_THRU_RATE_CTR,FLOAT,,"[0.00796768, 0.00746888, 0.007866533]",
14_DAY_CONVERSION_RATE,FLOAT,,"[0.056338028, 0.0, 0.026845638]",
14_DAY_NEW_TO_BRAND_SALES,FLOAT,,"[797.45, 0.0, 493.08]",
PORTFOLIO_NAME,TEXT,,"[""NAME_193"", ""NAME_192""]",
14_DAY_TOTAL_UNITS,FLOAT,,"[8.0, 0.0, 4.0]",
14_DAY_NEW_TO_BRAND_UNITS,FLOAT,,"[8.0, 0.0, 4.0]",
TOTAL_RETURN_ON_ADVERTISING_SPEND_ROAS,FLOAT,,"[7.289305302, 0.0, 4.803507063]",
