column_name,column_type,column_description,sample_value,ref_key
y_proba_logi_pathogenicity,FLOAT,,"[0.06157730147242546, 0.06336890906095505, 0.06410273909568787]",
training_gs,TEXT,,"[""high_medium""]",
pos,NUMBER,,"[233369903, 233198722, 5194731]",
study_id,TEXT,,"[""GCST90002374"", ""GCST90002405"", ""GCST90002391""]",
y_proba_logo_pathogenicity,FLOAT,,"[0.010627694427967072, 0.0113194789737463, 0.011380513198673725]",
gene_id,TEXT,,"[""ENSG00000242515"", ""ENSG00000242802"", ""ENSG00000242950""]",
y_proba_dist_foot,FLOAT,,[0.02039780281484127],
y_proba_logo_interaction,FLOAT,,"[0.008199282921850681, 0.009326607920229435, 0.010324648581445217]",
y_proba_logi_interaction,FLOAT,,"[0.024675194174051285, 0.03040473163127899, 0.2513684034347534]",
ref,TEXT,,"[""C"", ""G""]",
chrom,TEXT,,"[""2"", ""7""]",
y_proba_full_model,FLOAT,,"[0.009990689344704151, 0.010984377935528755, 0.01135866716504097]",
training_fold,TEXT,,"[""fold3=12|2|7|17""]",
y_proba_logi_molecularQTL,FLOAT,,"[0.023036958649754524, 0.02918686904013157, 0.08314736187458038]",
alt,TEXT,,"[""T"", ""A""]",
training_clf,TEXT,,"[""xgboost""]",
y_proba_logi_distance,FLOAT,,"[0.007899794727563858, 0.008202126249670982, 0.008570878766477108]",
y_proba_logo_molecularQTL,FLOAT,,"[0.008552473969757557, 0.009290909394621849, 0.00947759859263897]",
y_proba_dist_tss,FLOAT,,"[0.022033434361219406, 0.02130572311580181, 0.020761258900165558]",
y_proba_logo_distance,FLOAT,,"[0.015877747908234596, 0.017310548573732376, 0.02002124674618244]",
