column_name,column_type,column_description,sample_value,ref_key
gene_id,TEXT,,"[""ENSG00000275954"", ""ENSG00000181038"", ""ENSG00000164056""]",
alt_allele,TEXT,,"[""T"", ""C"", ""A""]",
ref_allele,TEXT,,"[""C"", ""T"", ""G""]",
feature,TEXT,,"[""unspecified""]",
source_id,TEXT,,"[""canonical_tss""]",
position,NUMBER,,"[36816582, 77103846, 123019779]",
qtl_score,FLOAT,,[],
chr_id,TEXT,,"[""17"", ""4""]",
distance_score,FLOAT,,[2.6524073248880684e-06],
qtl_pval,FLOAT,,[],
qtl_score_q,FLOAT,,[],
qtl_se,FLOAT,,[],
fpred_max_label,TEXT,,[],
fpred_labels,VARIANT,,"[""{\n  \""list\"": []\n}""]",
fpred_max_score,FLOAT,,[],
interval_score_q,FLOAT,,[],
d,NUMBER,,[377016],
type_id,TEXT,,"[""distance""]",
interval_score,FLOAT,,[],
fpred_scores,VARIANT,,"[""{\n  \""list\"": []\n}""]",
qtl_beta,FLOAT,,[],
distance_score_q,FLOAT,,[0.2],
