column_name,column_type,column_description,sample_value,ref_key
md5sum,TEXT,Md5sum for GDC data file,"[""eed63cc56a139cc75fdfb0057222c0bc"", ""1e58605e2d7acc8754d479740c0fbe6f"", ""8d6f45c8104844e3ea23883ecf776e24""]",
analysis_workflow_link,TEXT,Link to GDC workflow on github,"[""https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl""]",
project_short_name,TEXT,"Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.","[""TCGA-BRCA""]",
project_disease_type,TEXT,"The type of disease studied by the project; eg. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc","[""Breast Invasive Carcinoma""]",
index_file_name,TEXT,"Where available, GDC file name for index file ",[],
data_type,TEXT,"Experimental source of the data type, eg Tissue slide image, RNA-Seq","[""miRNA Expression Quantification""]",
data_format,TEXT,"File format of the underlying data, eg BCR XML, BAM","[""TXT""]",
downstream_analyses__output_file_gdc_ids,TEXT,Semicolon-separated list of GDC file UUIDs,[],
index_file_size,NUMBER,"Where available, size of the index file in bytes ",[],
downstream_analyses__workflow_type,TEXT,"Name of GDC workflow, eg VarScan2 Annotation (if applicable, NULL where no information is available)",[],
dbName,TEXT,"Referring to the default/main database at the GDC. In this table, this field is always current.","[""active""]",
program_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000178","[""phs000178""]",
file_id,TEXT,GDC file identifier. This is a duplicate of file_gdc_id field found in some tables. ,"[""e3bffebc-79c8-4cee-bad7-c7245a1ae50c"", ""856370c1-163c-4915-b71b-be8731c012e2"", ""ec0b35ab-e9cb-4c3f-bbef-6fc4537f3b66""]",
updated_datetime,TEXT,"Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00","[""2018-11-30T04:41:54.913544+00:00""]",
file_gdc_id,TEXT,Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba2,"[""e3bffebc-79c8-4cee-bad7-c7245a1ae50c"", ""856370c1-163c-4915-b71b-be8731c012e2"", ""ec0b35ab-e9cb-4c3f-bbef-6fc4537f3b66""]",
file_size,NUMBER,The size of the file measured in bytes,"[50152, 50204, 50233]",
associated_entities__entity_submitter_id,TEXT,Submitter ID for associated entity(ies),"[""TCGA-A7-A5ZX-01A-12R-A29V-13"", ""TCGA-E9-A54Y-01A-11R-A25Z-13"", ""TCGA-A2-A4RY-01A-31R-A25Z-13""]",
analysis_workflow_type,TEXT,Workflow name eg  STAR 2-Pass  ,"[""BCGSC miRNA Profiling""]",
data_category,TEXT,"Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc","[""Transcriptome Profiling""]",
file_state,TEXT,File state -- either live or submitted,"[""released""]",
acl,TEXT,"Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179","[""open""]",
file_type,TEXT,"File Type  -- eg aligned_reads , simple_somatic_mutation , gene_expression , etc","[""mirna_expression""]",
index_file_gdc_id,TEXT,"Where available, GDC file uuid for index file ",[],
analysis_input_file_gdc_ids,TEXT,GDC file UUIDs for input file(s),"[""f14fda4c-7246-48fa-9eb4-7c2cbfff4c19"", ""6a6d4980-d3e0-487a-b43b-01ad1d20d892"", ""cad598b4-f06a-4567-8e4a-8c3d6b4814d3""]",
downstream_analyses__workflow_link,TEXT,"Name of GDC workflow, eg VarScan2 Annotation (if applicable, NULL where no information is available)",[],
associated_entities__entity_type,TEXT,"Associated entity type, eg   aliquot or case","[""aliquot""]",
file_name,TEXT,Name of file at the GDC,"[""b4e7dda5-9ba5-4312-9593-4f9a3baaba2e.mirbase21.mirnas.quantification.txt"", ""33cd75d7-57c9-427a-bbee-4e009f29f318.mirbase21.mirnas.quantification.txt"", ""f3c212d5-7c71-446a-a0fe-f0b44cd1c1e5.mirbase21.mirnas.quantification.txt""]",
file_submitter_id,TEXT,Original submitter file id (eg CGHub analysis_id),"[""mirna_swap_dr11_134_MirnaExpressione2527b0c-2f30-4676-8b19-ae8852bf8fad_profiling"", ""mirna_swap_dr11_178_MirnaExpressionb418b524-b94c-4cb5-8899-7b3e9b0e580e_profiling"", ""mirna_swap_dr11_164_MirnaExpression59bcdb57-493e-4128-97bc-3517c51699ff_profiling""]",
project_name,TEXT,Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc,"[""Breast Invasive Carcinoma""]",
case_gdc_id,TEXT,GDC unique identifier,"[""ba80db4e-d899-4da4-ae49-5263d98e1530"", ""182c4bdf-2c58-4303-b034-459da86b9d90"", ""5a53ec47-e63f-44a2-8078-87659544fb04""]",
created_datetime,TEXT,"Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:08","[""2018-03-20T00:53:29.024823-05:00"", ""2018-03-20T00:55:19.269833-05:00""]",
platform,TEXT,"Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.8",[],
associated_entities__case_gdc_id,TEXT,GDC case uuid for associated case(s),"[""ba80db4e-d899-4da4-ae49-5263d98e1530"", ""182c4bdf-2c58-4303-b034-459da86b9d90"", ""5a53ec47-e63f-44a2-8078-87659544fb04""]",
associated_entities__entity_gdc_id,TEXT,GDC entity uuid for associated entity(ies),"[""bba4a5b6-d31d-4217-958b-201ce119608a"", ""fb486c7c-8666-4e1a-9242-318170beb512"", ""a442d596-1190-430b-b295-6aadf170d9d4""]",
experimental_strategy,TEXT,"Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq","[""miRNA-Seq""]",
project_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000185",[],
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
access,TEXT,Data accessibility policy (open or controlled),"[""open""]",
