column_name,column_type,column_description,sample_value,ref_key
LastActivityDate,DATE,,"[""2018-10-02""]",
Id,NUMBER,,"[58151, 58161, 58185]",
OwnerUserId,NUMBER,,"[2311653, 2312500]",
Type,TEXT,,"[""Dataset""]",
TotalDownloads,NUMBER,,[0],
TotalVotes,NUMBER,,[0],
CurrentDatasourceVersionId,NUMBER,,"[123254, 123281, 123332]",
TotalKernels,NUMBER,,"[0, 1]",
TotalViews,NUMBER,,"[132, 10, 13]",
ForumId,NUMBER,,"[66990, 67000, 67025]",
OwnerOrganizationId,NUMBER,,[],
CreatorUserId,NUMBER,,"[2311653, 2312500]",
CurrentDatasetVersionId,NUMBER,,"[112840, 112865, 112907]",
CreationDate,NUMBER,,"[1538462902000000, 1538464192000000, 1538468032000000]",
